passage.number,passage,annotator
119,"Lefevre when she received a visit from Teresa, whom she believed to be away in Eonen, superintending affairs at the hotel. The latter explained that she and Paul were taking a holiday, and that they were staying at Eixensart with some friends. The time had arrived, she con- tinued, in a mysterious voice, when Paul would redeem his promise, and would tell mademoiselle of her relationship to Philip de Ruthvyn. He had papers which were of immense value to her, but, as other people were mixed up in the affair, he could not give them without the greatest secresy and caution. After much de- liberation, she suggested that Fleurette should ask leave to spend a day in the country with her. Paul's sister, who kept the restaurant in the Ene Neiive, was pro- prietor of the principal inn at Rixensart, and if she met him there, he would be able to give her the papers, and tell her many things about Philip which were important for her to know. Fleurette listened with absorbing in- terest to all that Teresa told her.",svenja
124,"His heroic strength and bravery had rendered him extremely popular among the soldiery. He was naturally high-spirited and proud ; and it was not to be expected that he would tamely yield to indignity and public shame. His prowess and his courage were equalled only by his good fortune, so that his personal reputation was already very high. Born of noble parents in Tur- komania, he had spent his youth in Persia, having served with uncommon renown under Shah Ishmael the Third. His original name was Asta Jilho; but having slain a lion single-handed, he was digni- fied with the title of Shere Afghan, signifying the overthrower of lions. Under the latter name he had become both famous and popular throughout India, and in the wars of Akbur had served with great distinction. He had reaped a profusion of laurels under Kahn Kahnan, at the taking of Sihnd, by exhibiting prodigies of strength and valour.",svenja
129,"Theodore to commune with himself. Never since these letters had been first received, and read by Donna Aurelia in the days of her love, had they been perused with such feelings as now struggled in the breast of Theodore. Their contents made him acquainted with the events of his father's life, of his feelings, and principles. His heart felt its kindred with the deep tenderness of Don Balthazar's : for many of his own peculiarities of thought and of sentiment, did he trace in those of his father. That long-lost, almost unknown parent k 2 seemed once more to live, to act, to speak from these letters. As Theodore alternately glowed and melted over the alternate passion and tenderness addressed to his mother ; as he trembled with hope and fear over many of the hopes and fears expressed by his father, he could with difficulty convince himself that all this emotion, this struggle, this combat with the ills of life, this transport in the enjoyment of the affections, this dread of losing it, this sensibility to joy and sorrow, were all buried in the stillness of death. «* O no !""",svenja
134,"But the present state of affairs she did not under- stand. All that was amusing in it v> as the doubtless unbounded disappointment of the scheming little mother, who thus must find all her fine schemes collapsing in her hands. She could not refrain from mentioning the matter at dinner that evening, though Edward had a little failed on the former occasion, in that backing up of all her opinions and feelings which she had been accustomed to expect from him. "" I find there is to be no match such as that we were speaking of,"" she said. ""Harry has either drawn back or he is refused. Perhaps it may be that he has thought better of it,"" she added suddenly, without premeditation, grudging, as perhaps was natural, to let her young antagonist carry off the honours of the day. "" I thought it was not quite so certain as people seemed to believe."" "" Do you mean that Harry would persevere ? "" ""I mean that she would accept him, Aunt Catherine.",svenja
139,"CrownZvo. 2ls. The announcement of a new novel of society by the author of the brilliantly successful 'Dodo' will excite great interest, and it is believed that 'The Rubicon' will prove to have as much fascination as its predecessor. Stanley Weyman. UNDER THE RED ROBE. By Stanley Weyman, Author of *A Gentleman of France,' etc. With 12 Illustrations by R. Caton Woodville.",svenja
144,"The portrait, indeed, no longer represented' Dr. Joseph Chacomb. His face, lit by the can- dies, had lost its old red hue, and was now pale, but not pallid; his large eyes — formerly, to the young girl's fancy, so fierce — were softened and grave; above them lay eyelids heavy, as if with thought. His eyebrows were no thicker than is befitting to a man of great mental and physical strength. His lips were large, especially the lower lip; but you may remark the same pro- minence in that feature in the photograph of nearly every great statesman, lawyer, or preacher. His hair, grown thin at the temples, was strong, closely knitted, and not yet touched with grey — a sturdy crop of brown curls. His large hands, from vrhich he had removed the gloves, were now white and shapely. He was dressed by Poole, in such garments as belong especially to the prosperous physician — a black buttoned frock, and grey trousers in which no trace of Adie's ancient ""bulge"" was visible.",svenja
149,"The Chinese are slow at writing, but the form of reprieve was at hand, and the governor had but to sign and seal it. ' We shall save poor Conway yet/ cried Pennicuick as they left the palace. ' Let us hope so,' returned the Consul drily. ' Well, at all events the governor has shown himself anxious to do what he can : what did he mean by horses of a thousand li ? ' * The horses used by the government carriers are so called ; some of them will cover that distance — about 200 English miles — in a single day.",svenja
154,"He had amused himself sufficiently with laughing at Colonel Clive, and had jested with Agatha until she grew angry ; and now he had nothing left to assist in keeping up his spirits, for he could not bear to be alone with Margaret ; she never gave him reason to suppose that she in- tended to refer to the subject of his debts, still less that she thought of retracting her promise ; but he lived in constant fear of it, and he would give Mar- garet no opportunity of inducing him to be serious. This was a most uncomfortable position for her, when it seemed as if she ought to have some influ- ence over him. His candour, and his professed affection, indicated that he had more regard for her ^ than for any one else, and a responsibility seemed attached to her in consequence. But talking was out of the question. When he had left them she thought that she v»^ould write. Yet how could writing be of use ?",svenja
159,"Salome had looked carefully round to see if any one was there before she entered with Aulenus ; having satisfied herself of their privacy, she in a low anxious voice enquired ; "" When will he be at Tyre V "" In two or three days from this time at farthest."" "" What did he say of her — did he remember her V "" Perfectly, and vowed that he would woo her, if he came in the disguise of a rabbi, to Je- rusalem."" '* Aulenus, your benefactor is enamoured of this deep designing, proud Princess, and must be saved from ruin."" "" You know that I am prepared to aid you in your sisterly intentions, indeed I think his own rank and glory would be advanced were Antony to take her from him. Surely a province would indemnify him for the loss of a love.'* """,svenja
164,"and having paid oiF all his Oxford debts, went up to Edinburgh to stay with his- mother for the Easter holidays. CHAPTER XIII. ' Thy fate and mine are sealed, I strove against the stream, and all in vain,' They say that before any great misfortune happens to anybody, a period of tranquil- lity always comes. This is open to doubt. One may think on looking back that the period before any such event was, in com- parison to the present misery, so supreme- ly happy as to be considered unattainable again, and to be remembered with fond regret. It was certainly with no sense of impending calamity that Allan came back to his duties at Llanwch at the beo;innino: of the summer term of 1887.",svenja
169,"That was the one pale flower that only had not withered, when this night made such fierce havoc, in the blooming Eden of her past existence : all the sweet blossoms that were wont to spring around her feet had perished when her sun of hope went down ; and this alone remained to be the object of her care and deep solicitude, — the last light to live for in the darkness of that desert ; so that her existence was now gathered up into this one thing, — the wish, and, as a necessary result, the active effort, for his happiness. VOL. II. ' I It was evident that much depended upon herself now — no other, in fact, could pro- mote his union with Juliet Egerton. There- fore bending the strong powers of her soul to this one object, in that hour of calm and clear reflection she saw distinctly, as in a plan rolled out before her, how it was to be done, and his great prosperity, her complete adversity, accomplished. She must do all — she must release him from his engagement, she must gain from him the promise that Juliet should be his wife ; lest shame or remorse should deter him, she must obtain Colonel Bentley's difficult consent ; and, further, she must, out of her own fortune, provide Juliet with such a portion, as should enable them to marry without waiting for Aylmer's inheritance, for she knew that Mr. Egerton had lived too magnificently in early life, to be able now to provide for his numerous family.",svenja
174,"As you please, Mr. De Burgh ; but you may be sure of a hearty welcome if you come. I think I should recommend change of scene and travel if you are suffering from depression of spirits. I myself have proved the efficacy of the remedy."" "" For the last six months nearly I have been incessantly moving about, and there is no doubt one's attention is pleasantly dis- tracted by the variety of interesting scenes through which one passes. By the way, what a charming person that Mademoiselle von Borgern is who is on a visit to you ; she seems very clever, and assuredly is very handsome."" ""Yes, Ida certainly is intelligent and nice looking, but she makes little show in public. However, people generally come to like her when they know her better.",svenja
179,"However, Philip obeyed and entered. "" I beg pardon, 1 ' he said ; "" I came to inquire for Lilly Dawson."" ""Oh! Lilly's in bed with a cold,"" said May, turning upon hirn her bright face; for she had got a new bormet, and was trying it on at the glass, and being conscious that it was extremely becoming, her features were, just at that moment, illuminated with pleasure. "" Can this be May Elliott ?"" thought Philip, whilst he pro- ceeded to say that he had called, fearing Lilly was ill, as they had not seen her for some days. "" Come in,"" said May. "" You needn't be frightened at me ;"" for, somewhat surprised at what he saw, he stood with the door in his hand, ready to retreat. ""If you'll come in and sit down,"" said she, "" I'll tell Lilly you are here.""",svenja
184,"I told you when it happened,"" said Reine, in very measured tones, and with unnecessary dignity ; "" you have forgotten, mamma. His affairs got into disorder ; he thought he had lost all his money; and he was obliged to go at a moment's notice to save himself from being ruined."" "" Ah ! "" said Madame de Mirfleur, "" I begin to recol- lect. Apres ? He was not ruined, but he did not come back ? "" """,svenja
189,"I dare say it is all idleness. If you gave her one for a pattern, it would be quite enough."" "" I do not think so, Lady Julia. She is a very great invalid ; and those to whom God has given health and strength should be thankful for the blessing, and endeavour to assist the less fortunate. '' *' Dear me, I am sure one never was intended to make caps for all the dirty beggar children. But, thank God, I am not such a saint as you are.",svenja
194,"I have a consciousness of power, which is power; and if I cannot be happy, I will be great."" ^' But, my dear Helen ! "" said I : she inter- rupted me at once, and the feeling that had lent such dignity and spirit to her expression, changed to one of perfect playfulness. ^' Now, my dearest Nobody ! you must not put on your preaching face, and tell me truths and facts ; I know what truth is, though my staple commodity is fiction, and facts are hard, immouldable things ; nothing can be done with them ; turn them which way you will, there they are, and there they will remain. If I had not felt that I deserved all you were going to say, I would have discovered ray retreat and my plans to you long ago ; but I should starve were 1 to practise truth ! "" I saw she was ex- cited, and thought I would endeavour to change the subject. "" Your father, dear Helen '' *^",svenja
199,"Expect me in three or four days ; but oh, Catherine ! if within this time I should not fulfil my promise, think not hardly of me — and now farewell, my own ! — one parting embrace I "" She flung herself into his arms. ""Oh, tell me again, Frederic; renew the assurance that our next interview terminates this suspense which is destroying mc. Nay, even now let me know this seeret ; for the most piercing anguish were better than delay, however brief! "" exclaimed she, in a voice broken by deep sobs.",svenja
204,"sooner shall fire and water unite, than I with Mary LesUe ! Have I not told you again and again, another has my love, and would you have me devote myself to misery ?"" *^ No, by heaven ! 1 blame you not,'' Essex answered, ^' yet one chance seems still to re- main ; have her to court, man ; she will see more to attract her here than buried in Scot- land ; some lucky chance may yet deprive you of your bride."" "" Marry, you counsel well,"" Tracy said, his countenance brightening, "" but enough of this idle chat. I had rather ask you, my Lord, what of the expedition towards Spain ? have you determined the plan ?*'",svenja
209,"To the eyes of Charles of Montsoreau and his companions these indications wanted no explanation, nor was any consultation necessary; for it was evident that there was but one thing to be clone, namely, to endeavour to force a passage through this little advanced party of the reiters before the main body could come up. "" Quick to the side of Maitre Henri,"" ex- claimed Charles of Montsoreau, speaking to the page. "" You, Gondrin, too, attach yourself to him. Leave nothing undone to secure his escape ; and now forward, my men ! Upon them ! "" He turned one anxious glance round in the direction of his newly acquired companion ; but saw — with some surprise, perhaps — no- thing but a calm, unperturbed smile on his countenance. Maitre",svenja
214,"Think, he is going away to war,"" implored Gertrude, clasping her hands. "" I can give no consent to this,"" repeated tlu^ General, standing up. ""I would rather hear no more on the subject. If you choose to disobey me, Gertrude, you are of age, and can do so, that is all I have to say."" He did say no more, but waved his hand to signify that further talk was useless, and walked out of the room. Mrs. Corrington heard him shut the door of his study. """,svenja
219,"C'é- taient là des sujets de réflexions si graves et si tristes, que Tom ne put de toute la nuit fermer les yeux. Mais c'était sur- tout sa propre violence qui faisait horreur à l'esprit généreux de Tom; en la rapprochant de plusieurs sujets de peine qu'il avait causés autrefois à M. Pecksniff (et que, par parenthèse, ce gentleman lui avait plus d'une fois reprochés), il commença à croire qu'il était appelé par un mystérieux destin à être le mauvais génie, le mauvais ange de son patron. Enfin pour- tant il s'endormit et rêva (nouveau motif de chagrin au ré- veil) qu'il avait trahi son serment et s'était enfui avec Mary Graham. Il faut reconnaître que, soit endormi soit éveillé, Tom se trouvait dans une position tout à fait difficile à l'égard de cette jeune fille. Plus il la voyait, plus il admirait sa beauté, son intelligence, les aimables qualités qui lui gagnaient les cœurs, même dans la famille si divisée des Pecksniff, et qui, en peu de jours, avaient rétabli de toute façon un semblant d'harmonie et de tendresse entre les deux sœurs courroucées. Quand elle parlait, Tom retenait son souffle, tant il l'écoutait religieusement; quand elle chantait, il restait comme en ex- tase. Elle avait touché son orgue ; et depuis cette mémorable époque le vieil instrument, compagnon de ses plus heureux jours, qu'il n'eût pas cru capable de mériter un tel honneur, inaugura pour lui une nouvelle et divine existence.",svenja
224,"He had awoke from his first bewilderment, and began to un- derstand vaguely that everything was not going to be easy for him as he had once thought. "" You see I /lave spoken to her,"" he said. *' You frighten me horri- bly ; but then it is of no use considering what you would have done in a totally different case."" The Duchess sighed and shook her head. *' That is what I should have thought It my duty to say, in view of all the pain and confusion that are sure to follow.",svenja
229,"If I am to do this—and I don't half like it—I do it to serve you, although how it is to serve you is an impenetrable mystery to me. If you put it upon any other grounds, you must look elsewhere. I'll give my name cheerfully to oblige a friend—but I'm not the man to sell it for a consideration.” “You will acquit me,” replied Rawlings, “of intending what I said in that sense.” “Oh! of course—of course,” returned the captain. “The fact is, it is you who place me under an obligation, and I am willing to accept it from you upon no other condition than that you will command me in any way I can serve you in return.",svenja
234,"Good Lord ! what will that poor child say to the news of the war ? She is too tender for such times as these."" "" Yes ; she will not be so full of gay excitement as Mistress Anne Barrington,"" said Dick, stealing; a glance at his brother. "" Were we all chopped into mince-meat she would but say that it made life like a romance."" Joscelyn shrugged his shoulders. "" The novelty of war will soon wear off, and she will long for peace, or perchance, while the rest of the world is fighting, she will marry some cathedral dignitary."" """,svenja
239,"Vilk/-;' said Montgomery. '^ Or me/' sa^d JVJ§-.: ry, with earnest s^implicity.^.^j^.^^^^^.^r^^^ *^ Neither of you shall st^r^^aniir^^h;^ for m.ej' said Mrs. Deborahj j^v^ ,,.. t^ "" ph! hy X!fi ^m^^r^ s^d^JJ^ss;; Moreton. . /, ,^..^^ .^,,,_.^ .^^ ^.-,^ "" Nq, no, we^jH,se^jif, yo^ ga^pH - for price sit uprigh):, Ijkp q, . buiTiaiji^ ^^t ing/' saidMfcs. ^eb|orah..^^«*V/)y'il b?' your supporter !"" VOL. r.",svenja
244,"But he noticed with the quick eyes of love that her hands burnt as if with fever, that her usually pale face was flushed and hectic, and that her parched lips were dry. He noticed, too, when he took her in his arms and drew her to his breast with that tenderness, that infinite yearning of the unloved seeking to gain what is denied, that she visibly shuddered and drew her- self away as if she had been stung. He did not let her see what pain this mute repulse gave him. As gently, as tenderly as he had taken her did he now relinquish her ; but over all his inner being came the deadly sickness which men call despair — that anguish of impotent fury which would revenge itself if it could, and which cannot find the object. VOL. II. U CHAPTER XIX.",svenja
249,"Then the moon, Hke a goddess Invoked, came forth from behind a bank of clouds, irradiatinof the whole scene, and casting a broad silver pathway on the water, whilst the great palaces on either side stood out against the shimmering sky, silent and dark in their strong shadowing. The music rose and fell ; the dense floating mass of gondolas increased in volume with every inlet of the canal. Some red and ereen Bengal lights flashed out here and there, with long trailing reflections, revealing the architecture of great water-gates, and iron trellised windows, from which came the sight of merry faces, and the sound of joyous voices. At last the Rialto was reached, and there, under the echoing bridge, the gaily- decked music-boats paused with their rock- VUL. I. 19 ing lanterns, and around them pressed the attendant black gondolas. "" Santa Lucia,"" sang an unaccompanied quartett, beginning the well-known melody that is as much loved in Venice as at Naples : *' Sill mare luccica L'astro d'argento, Placida e I'onda, Prospero e il vento,"" and, like a triumphant wave of joy, from all sides burst a mighty chorus.",svenja
