passage.number,passage,annotator
51,"Whoever thou art,"" then replied the wounded man in faint murmurs, and scarce making an effort to look at the person who ac- costed him, "" respect my condition. If thou art a Scot I must needs be thy prisoner."" "" I am no Scot,"" answered Raimond, much struck by the voice, ^' and if I were, honour and humanity would forbid my touching thee save with the hand of help."" "" Succour then an English knight, sore stricken in doing service to this ground,"" returned the suffering cavalier. "" Gracious Heaven ! I should know thee ! "" exclaimed Farneley, scrutinizing the person and equipment of the knight, for from his bending posture he could not see his face. "" Very Uke,"" he rejoined, "" the name of Rafe de Neville is neither unknown, nor his presence rare in gatherings of the March."" "" The knight of Raby !",mark
56,"Wigsby's friends — chiefly the wives and daughters of the great commercial planets of the neighbourhood. Mrs, and Miss Forge, the wife and daughter of the proprietor of the greatest iron-works in that part of England; Mrs. Pugsby, with whom the reader is already acquainted; the four Misses Tittups, whose father was at the head of the firm of Tittups and Co., railway contractors; Mr. and Mrs. Wellington Popkins, the former the secre- tary to the Great Diddleton Railway; and Mrs. and Miss Tims, the wife and daughter of the eminent Mr. Timothy Tims, the junior partner in the Diddlcton Bank. Mr. and. Mrs. Wigsby busied themselves by visiting the different groups at the several windows, looking extremely amiable, and their conversation, to a very remarkable extent, par- taking of the amiability of their looks; but it was clear that whatever respect they might have had for the majority of their guests, it was very far behind what they thought proper to display towards their distinguished friends from Welby Park. Their general air and manner towards Mrs. Snobson were characterised by a degree of ser- vility which would have sickened a less strong stomach for flattery than that which happened to be the property of the lady of the popular member. Mrs. Snobson, however, seemed to find it agree with her; she took her attentions with a proud consciousness of her own superiority, and made it appear as clearly as possible that she was dis^ playing immense condescension in affording her countenance to ""such people."" "" Miss Snobson !"" exclaimed her mother, im- periously, "" I wont have you hold your head in that wa}^, and twiddle that bit of string over your fingers.",mark
61,"Long may John live the pride and glory of Caftile ! exclaimed the Baron : the reft pronounced a heart-felt amen j and the king and corregidor retire^. Don Juan kept them all that day at his houfe, and in the evening an officer arrived with a letter from the corregidor to the Baron ; he had orders to proceed directly on the inqueft : they refolved to fet out that night ; but it was agreed that the lervants (hould remain behind^ to prevent urme- ceffary fpeculations. CHAP, IT was juft twilight when they arrived in th$ valley : they proceeded to the bower, where, ac- cording to a prior determination, the Baron and Donlfidor remained with the horfes, while Father Thomas, the officer, and Alphonfo, went to the chapel. Arrived at the mouth of the fubterra- neous pafTage, they flruck a light, and found the place juft as it had been left by them.",mark
66,"Daisy now hazard- ed asking Gascoigne, feeling she must say something, and with a most ridiculously timid manner. ''That is Mrs. Burke, the wife of Colonel Burke, whom you saw out there under the stairs."" What ! wife of the man who was flirting so busily with Birdie. Though little Miss Dimity said nothing, while her eyes were tlius opened, slie knew by something in his voice, so fine it could hardly be given a name, that the same thought was in the mind of the quiet man beside her. But up came Lee towards her gaily — banishing reflection.",mark
71,"Sur- prised by such a sound, at such an hour, he shouted to know who was there. There was no answer, however. The silence was com- plete, tomb-like. Concluding, therefore, that he was mistaken, he hurried to pick up a big block which lay at his feet, and turned to descend. He was in the act of doing so, when again, and this time unmistakably, he heard the sound, and turning, quick as thought, looked up into the misty vault. For an instant — only for an instant — there was the outline of a head ; the outline of a gun; then a flash, and the next moment a stinging, numbing, indescribable pain right through the middle of his chest caused him to drop the stone which he had in his hands, and with a wild cry, in which pain, indigna- tion, and bitter unsj)eakable astonishment all seemed to mingle, he dropped down upon the ledge where he was standing, while a sound of footsteps, first nearer, then further, further, further, sounded overhead, finally dying away in the far-off solitary distance. The murderer had effected his escape.",mark
76,"An early hour was appointed for starting the next morning, and the party separated in great good humour with each other. As they were going down the steps, however, Captain Dono- van followed the two guests, exclaiming, "" Major Brandrum, allow me to speak with you for a moment ;"" and while the major paused at this summons, Reginald walked slowly on into the park. "" Thank you, my dear captain, thank you ; I never borrow money. It is always unplea- sant to borrow, and often inconvenient to pay ; and not the less inconvenient because it is unpleasant, nor the less unpleasant because it is inconvenient."" Such were the words which, spoken in Major Brandrum's voice, reached the ears of Reginald as he walked on. A moment or two after he was joined by his friend, the Ravenous Crow, who said, laughing, "" Hang the fellow ! he wanted to lend me money.",mark
81,"The girls will be thirsty for the rest of the evening,' Miss Minerva persisted ; 'the girls will have no appetite for the last meal before bedtime. And their mother will ask Me what it means.' ' My good creature,' cried Mr. Gallilee, ' don't be afraid of the girls' appetites ! Take off their hats, and give them something nice for supper. They inherit my stomach, Miss Minerva — and they'll "" tuck in,"" as we used to say at school. Did they say so in your time, Mr. Le Frank?'",mark
86,"Second Edition. In Three Vols, post 8vo. NIGHT AND MORNING. A Novel. By the Author of "" Rienzi,"" *' Eugene Aram,"" &c. "" The best novel that Sir Lytton Bulwer has yet given to the world."" — Literary Gazette. "" The vivacity and variety of * Night and Morning' will carry it throughout the whole world of novel readers.""",mark
91,"ILalf Length Fortraits. Short Studies of Notable Persons. By J. Hain Friswell. Small post 8vo, cloth extra, 6j. Essays on English JVriten, for the Self-improvement of Students in English Literature. "" To all who have neglected to read and study their native literature we would certainly suggest the volume before us aS a fitting introduction."" — Examiner, The Gentle Life Series (cofitinued) : — Other People's Windows.",mark
96,"No sound save the low mvrmvr of the old man's voice and their slow footsteps sell upon their ear, no human being was visible, no bird or bat disturbed the quiet air ; all was strangely, solemnly still, impressing, unconsciously to thern, a feeling al- most of awe upon both Quintin and Flors. The latter had descanted fervently upon the sweetness of his child, and had paused as though to enjoy the luxury of thoughts which the subject had raised — thoughts which had no words, a communion with the heart which had no audible voice. To Quintin such a pause was equally desirable ; he too could dwell upon the subject with an eloquence of thought no langvage could reach. It was even in this moment of attraction that a strange hand was laid upon the shoulder of Flors. He started from his reverie, and, in the deep shadow of a pillar which he was just passing, there stood a fi- gure of a man habited in black, with his face masked. In a deep hollow voice he exclaimed, while his hand still grasped the painter's shoulder, "" Michael Flors I"" Quintin was also roused from his dream of bliss by the sudden cry of astonishment which the old man made, as well as the exclamation of the stranger. Upon the impulse of the surprise he clapped his hand to his sword, and, at the same moment, his arm was seized and another voice of a similar tone exclaimed loudly — "" Quintin Matsys !""",mark
101,"Good-night,' she said once more to Brunt, who shambled away on his road to Haltham. And then, with a slight in- clination of the head, she was about to retreat again within her own little fortress. ' Mayn't I speak to you ? ' asked Hal Rushton. 'Of course,' she replied in a trembling voice, and he followed her into the room, though they did not close the door. 1 You are troubled to-night, I am sure. What has annoyed you ? ' he said gently.",mark
106,"Made- moiselle. It is impossible to face each other so fairly and openly that our natures lie bare to sight and knowledge. It is equally impossible to foretell what fruit the impulses and longings of our souls may bear. There are few indeed whose lives show a white, clear page like yours."" "" How do you know ? "" she commenced — then hesitated and coloured as she met his eyes. "" How do I know of your life, you would say ?",mark
111,"By John Conolly, M.D. Demy Svo. Price 14s. cloth. Visit to Salt Lake. Being a Journey across the Plains to the Mormon Settlements at Utah. By William Chandless. Post Svo, with a Map. 2s. 6c?. cloth.",mark
116,"“Well, then,” answered his Lordship, “you must see that my steward provides for those two persons. — That care I leave to you—and should there be any complaints, on you they fall.” Sandford bowed and was going. “And now,” resumed his Lordship, in a stern and exalted voice, “let me never hear again on this subject. —You have full power to act in regard to the persons you have mentioned; and upon you their situation, their care, their whole management depend—but be sure, you never let them be named before me, from this moment.” “Then,” said Sandford, “as this must be the last time they are mentioned, I must now take the opportunity to disburthen my mind of a charge”— “What charge?”—cried his Lordship, morosely interrupting him.",mark
121,"One word, Isabel, before things go too far. You know what accusation you are bringing against me? You can't prove it. That is no proof. Do you under- stand what I say ? And more, it is not true.' ' Oh ! ' she said, clasping her hands, ' Say it is not true !",mark
126,"The fort itself is a magnificent structure, well defended with broad ditches, and co- vered by a succession of works, on which many heavy cannon are mounted. But the circumstance which attracts, in a principal degree, the stranger's admiration, is the ex- ceeding care which is taken to keep it clean and well ventilated. Every day the sewers are washed out and sprinkled with quick- lime; while, ere sunrise, the sweepers are at work, not only as often as occasion seems to require, but much more frequently. More- over, the inmates of Fort William have other than human guardians of their health, so far, at least, as health is liable to be af- fected by the presence or removal of putre- fying garbage. Every body lias heard of the bird called the Adjutant, which walks about, respected, and therefore tame, and feeds upon carrion of every sort, from the body of the mouse up to the human frame, of which numerous specimens are, every tide, washed down the Ganges. A strange-looking creature he is — that Adju- tant — with his bald head and his ashen- gray wings, and his portly form lifting his bald head nearly four feet above the sur- face of the earth. And then, when the heat of the day comes, away he goes into the skies, ascending so far that you can observe only the shadow of his form in the sun- beam.",mark
131,"I am certain not one of you would regard my opinion, or depend on my judgment ; and as I have very mate- rial business to transact, I must wish you a good night."" So saying, he snatched up his hat; and quitting the room, flung the door after him. ^' You must not mind George,"" said Lord Bellengen ; 'M am sorry he won't remain with us; but I see he is in one of his sulky humours to-night. Poor k6 fellow, I fear that woman that lives with hiin vexes him sadly."" — ^^ I don't be- lieve that she does, my Lord,"" replied Doctor Lawson ; *^ I hear she was a most amiable creature till he led her astray — I fear he makes her a very wretch ; for she has not bad principles, and no woman that has not, can be happy in her situation,"" Lord Bellen- gen mused, and then said, ** I shall try, my good Doctor, what I can do in this affair.""",mark
136,"You are so very young, — not yet twenty-three. Think what bright possi- bilities life may have in store for you."" She smiled again, — a smile not good to see. '^ Look at that ship,"" she answered, stretching out her small white hand towards the sea; ^^does it not look calm and peaceful, gliding along so safely and steadily, that sunny sky above, and that calm sea below? But do you not see that bank of clouds in the west? In a few hours they will spread and break, and there will be howling winds and tossing, angry waves. Woe to the little ship then if she is not safe in harbour!",mark
141,"And as for them coats as he gets from the Flitton tailor, they're a poor cut to pay double money for.” “Ah, Mr Macey, you and me are two folks,” said Ben, slightly indignant at this carping. “When I've got a pot o' good ale, I like to swaller it, and do my inside good, i'stead o' smelling and staring at it to see if I can't find faut wi' the brewing. I should like you to pick me out a finer-limbed young fellow nor Master Godfrey—one as 'ud knock you down easier, or's more pleasanter-looksed when he's piert and merry.” “Tchuh!” said Mr Macey, provoked to increased severity, “he isn't come to his right colour yet: he's partly like a slack-backed pie. And I doubt he's got a soft place in his head, else why should he be turned round the finger by that offal Dunsey as nobody's seen o' late, and let him kill that fine hunting hoss as was the talk o' the country? And one while he was allays after Miss Nancy, and then it all went off again, like a smell o' hot porridge, as I may say.",mark
146,"Most assuredly I will not, if you desire it,"" said Augusta. "" I command it by virtue of my right as your lord and master,"" said Mesmer with mock heroic dignity. "" May your shadow never be less, most mighty Caliph !"" *' In another hour I shall have no shadow at all, if the sun-dial is to be credited."" '* Ah ! that is the reason I so love the Arabic and Turkish phraseology ; they do outrage probability so delightfully.""",mark
151,"It soon yielded to the kind and skilful treatment of Nurse Thorn, and Yiolet was almost sorry when it became obvious that she need no longer excuse herself, on account of her lameness, from joining in the excursions of the others. The party was soon to break up. The Anstruthers were to carry Yiolet off to tlieir Highland fastness, and the Mortons were to start for Glen-Auch- muty, in preparation for the 12th of August and St. Grouse. Marion Ans- truther inflicted no more metaphysics on unfortunate Mr. Green; indeed as Major Armstrong remarked to Yiolet, the "" limited understanding company "" appeared to have dissolved partner- ship, and it was hard to say which of the two shunned the other the most. Marion boasted that she had no soul for art ; so with the convenient non- clashing arrangement which existed be- tween the sisters, Helen took it up, and talked so magnificently about sun- set effects and "" chiaroscuro,"" that Major Armstrong could not resist a mischievous inclination to draw her out and make fun of her. Helen was obtuser than her sister Marion, and never discovered the drift of his remarks ; but began to flatter herself that she had made a very agreeable im- pression on Major Armstrong, and plumed herself not a little on his polite attentions.",mark
156,"The Lady Abbess easily prevailed on me to pass a few days with the poor invalid, and the servant was dispatched with my excuse to the Lady Polignac. After advising Laura to open her mind to me, the Lady Abbess left us together. As soon as we were alone, Laura begged me to sit close to her, as her voice was feeble. She wept bitterly, and seemed so agitated, that I pre- vailed on her to postpone her communication to the following day. In the mean time, I strove to divert her mind, by conversing on such general subjects as could have no power to recall the past. '; The Lady Abbess visited us in the evening, and invited me to sup with her. I slept in the room with Laura, whose sleep was disturbed by fear- ful dreams, from which she awoke more agitated than refreshed, We breakfasted on the following morning at a very early hour, after which Laura finding herself somewhat calmer, commenced the relation of her sad adventures in about the fol- lowing words : *'",mark
161,"This then is the one you have selected ?"" she said, 'taking it from its resting-place, and re- moving from its bosom a faded nosegay that v^^as fastened there. She kissed it as she placed it aside; and observing her sisters smile, she continued — "" You see I have had my fits of sentiment. This dress was made for the first ball I was ever at, in which I was in love with all my partners successively ; and as I have never worn it since, this miserable relic still exists to remind me of my folly."" Mary and Cecil looked curious, for they suspected more than Leslie had confessed ; and an intelligent glance pass- ed between them as they remarked, that instead of throwing it away, she placed it carefully in a toilet-box. Again she addressed them—-"" If you really should like,"" she said, measuring as she spoke the dress she held against the fi- gure of Mary — "" if you really should like like dresses of this des'cription, I think"" — There was a timidity in her manner that shewed she was fearful of offending, and a pale blush mantled on her cheek — "" I think I could furnish the materials.",mark
166,"Contempt was (Ironger in my bread than anger, and I replied with provok- ing coldnefs, ' Sleep in fecurity, fair Ellen ; not the llumbers of holy veflals ihall be more facred than thine ; nay, to reaflure thee, and remove all diflruft from thy mind, know, that were we two now cad on a defert fhore, unmarked by the foot of man, our race (hould end with us, rather than I break on thy quiet.' "" This fpeech appeared to provoke her beyond any thing that had pafied ; for (he burft into tears. The fight, t confefs, daggered my courage; but, fummoning all the fortitude I polfefTed, I refolved to perifh rather than fliew my* lelf the flave of arrogance and avarice ; I however entreated her to compofe her. felf, and take fome refrelhment. "" The ""The torrent having fomewhat fub- fided, (he at length faid more calmly,- — * However duty may impel a child to fubmit to a parent, yet furely, St. Clair, you owe me an explanation to what I afked. If you are wronged, why not proclaim it ? or, if fecret reafons pre- ponderate, they furely could not extend to me.' """,mark
171,"She had managed to crowd a good deal into two terms, to say nothing of college concerts, dances, lawn-tennis, and, most of all, she had passed the entrance examination at Newnham. She ought to have gone back to Silverton when the term was over proud and happy. There was everything in the world to make her happy ; there was no ingredient wanting in her cup to make it pleasant. It was full to the brim. She ought to have been happy — there was no excuse for her not being happy — but she went back to Silverton declaring that she was the most miserable girl in the world. She didn't tell Adela — who sat opposite to her all the way, buried in a book she was get- ting up for the Tripos — that she was unhappy. She would not have admitted it to Adela, who was the most unsympathetic of sisters, and never gave her anything but stale buns when she went to tea with her at Newnham.",mark
176,"I am not a poor man, Lam^a; but you arc so divided from the rest of tlie world by your father's wealth, that I have feared to speak. I have feared to tell you that which you might have discovered for yom^- self, had you not been as innocent as yom.' own pet doves in the dovecote at Maudesley."" The girl looked at him with Avondering eyes, that were still wet with unshed tears. "" I love you, Laura ; I love you. Tlie world would call me beneath you in station, now ; but I am a man, and I have a man's ambition — a strong man's iron will. Every thing is possible to him who has sworn to conquer ; and for your sake, Laura, for your love I should overcome obstacles that to another man might be in- vincible. I am going to Lidia, Laura : I am going to carve my way to fame and fortune, for fame and fortune are slaves that come at the brave man's bidding; they are only masters when the coward calls them.",mark
181,"She brought the paper to Eodomant ; he read it, tore it in two, and said sternly, "" If any doctor comes near me, I will knock him down ; I am going to my native place. I suppose I have escaped this way ?"" with strong and bitter emphasis. She turned to her table, for she could not face him in that sterner grief. *'I will not stay here,"" he continued fiercely ; "" not, if you leave me. I saw in your eyes that you said to your heart, ' This afflicted shall remain in my room, rest in my bed, be caged, like my bird, in bonds sweeter than Heaven's liberty.' "" In truth, a large and twilight-tinted bird, which had been roosted on a perch in one corner, had raised its head from under its wing at the un- usual noise, and was staring at Rodomant with a bird's own glance — the brightest and softest, while the most cunning in the world. """,mark
186,"She glanced at him sharply ; the words were trivial, but the tone sullenly threatening. ''How much did he give you ?"" "" Enough to quiet Jackson for many a month."" '' Hubert ? What does this temper mean ?' ""It means that I'm most seriously offended with you. You disobeyed my orders, told me a falsehood, disobeyed again, and I've no doubt would tell another falsehood if there was any chance of deceiving me."" "" Please explain, sir."" """,mark
191,"Do you, Henry, when ordained, avoid such wretched and dangerous labours. Imitate your great Master; neither per- plex our faith nor adulterate our worship. Omit all complex and mysterious articles that you can possibly avoid. Let your discourses bear the evident marks and signatures of reason, wisdom, and moral fitness, and your religion will in the end prevail. The Spirit of God is stronger than orthodoxy, and will support that doe- trine he inspired the great apostle to preach. Do you, Henry, endeavour to catch this spirit, and it will enable you to renovate the constitution of the church, according to the princicles on which it was first founded, and the whole world will then confess, what Saint Paul cJe- clared to the Athenians, "" That there is one God, Maker and Lord of all things; that he is not a local Being; nor delighted with the pomp of external worship ; that we are all his offspring, depend upon, live in him, and from him receive the daily blessings of his goodness; that in compassion to the ignorance of men, he gave them a particular revelation, and designed by the gospel to bring them to repentance, improve the moral perfec- tions, and promote the social happiness of mankind ; that he has appointed a time of universal judgment; and his Son Christ Jesus to be the judge, who will judge all mankind with perfect equity ; that Christ was slctin, sacrificed his life in the cause of truth, and thereby exhibited the noblest example of virtue, obedience, and good- ness; that he arose from the dead, and his resurrection is the evidence of his divine commission and authority bein* given to him ; that iiis worthiness pro- cured from God the keys of grace and power, to restore life to the numberless dead, and throui^h his coiisuinmate virtue we &hall be redeemed unto God, and live for ever in the heavenly world; if we attend to the rules of truth and wisdom, and in imitation of Jesus, so far as we are able; be willing to sacrifice our very lives and souls to the Will of our Creator, and the happiness of his creation.",mark
196,"George had come forth from Sir Simon's, having learnt what he, Trace, was then in blissful ignorance of. "" Why did you urge Paradyne to give up to me ? "" he asked of Mr. Henry. ""Knowing me now for Mr. Paradyne's son, you will understand how heavily that past calamity, entailed upon you, has lain on me. If I could but have wiped it off ! I was always thinking ; have atoned for it in any way ! And I could do nothing. It was but a slight matter for George to withdraw from the Orville.",mark
201,"‘Well—never mind; don't grieve,’ said Jude generously. ‘I did suffer, God knows, about you at that time; and now I suffer again. But perhaps not so much as you. The woman mostly gets the worst of it in the long run!’ ‘She does.’ ‘Unless she is absolutely worthless and contemptible. And this one is not that, anyhow!’",mark
206,"Montrose shrugged his shoulders. “And, like true champions in romance,” he said, “you have agreed, that you are both to worship the same mistress, as idolaters do the same image, and that neither shall extend his pretensions farther?” “I did not go so far, my lord,” answered Menteith —“I only said in the present circumstances,— and there is no prospect of their being changed,— I could, in duty to myself and family, stand in no relation to Annot Lyle, but as that of friend or brother—But your lordship must excuse me; I have,” said he, looking at his arm, round which he had tied his handkerchief, “a slight hurt to attend to.” “A wound?” said Montrose, anxiously; “let me see it. —Alas!” he said, “I should have heard nothing of this, had I not ventured to tent and sound another more secret and more rankling one, Menteith, I am sorry for you—I too have known—But what avails it to awake sorrows which have long slumbered!” So saying, he shook hands with his noble kinsman, and walked into the castle. Annot Lyle, as was not unusual for females in the Highlands, was possessed of a slight degree of medical and even surgical skill.",mark
211,"No fear of my forgetting it, my darling,"" he replied, as he fondly pressed her in his arms. "" I shall think of you both night and day, until we meet again. But meanwhile, what have I to give you in exchange ? There is nothing but my watch, and I shall want that on the voyage."" "" Hast thou not given me everything ?"" she answered, hastily, "" art thou not my very own ? Tell me so, Gor-don, before we part, say that thou art, wholly and irre- vocably mine, that no other woman can ever come betwixt thee and me, and for awhile I will be content to lose thee."" She gazed into his face, anxiously waiting his reply, with straining eyes that seemed as though they needs must wrest the truth from him.",mark
216,"My God ! ' he exclaimed, shuddering back from the kisses she was laying on his pale lips, ' this is more than I can bear ! Show me your way of escape, Sybil ; I will take it if I can.' ' Tell me the story of this mother and child,' she answered with desperate abruptness, ' and give me leave to clear your character in Mr. Helstone's eyes.' She withdrew herself from him as she spoke, and sank down again in the chair she had quitted, still keeping her eyes upon his face. Its expression of restrained feeling baffled her. She added, after a moment's pause, seeing that he remained silent ; ' There is no other alternative, Julian.",mark
221,"such brute beasts ! such stocks ! such stones ! that here we go on from day to day, enjoying the life he gives us, eating the bread and meat he gives us, drinking his good refreshments, resting upon his warm beds, and so on. . . . Every day, and every day, and every day — and who among us, I, most espe- cially for one, ever thinks, except maybe by scuttling through a few rigmarole words — ever thinks, I say, of thanking Him for it — of lifting up a warm, honest heart, of true real thanking, I mean ""i Of loving Him the better, and trying to serve and please Him the better — when he, great and powerful as He is — Lord of all the lords, emperors, and kings, that ever wore crowns and coronets in this world — condescends to let us thank Him, to like us to thank Him, and to take pleasure in our humble love and service !"" He paused — every eye was fixed upon the speaker. """,mark
226,"Amidst the harvest of death appeared a new portent. Men and women, who lightly rejected the Lord of life, threw away life itself as being no longer worth retaining, — a mere burden, to the endurance of which their philosophy, classics, and Jean Jacques brotherhood could not recon- cile them. The nobles, robbed of supremacy and privilege, did not die with a more cynical indifference or a more reckless defiance than did the philosophers and the women of sentiment. They thrust their walking-swords into their breasts like Roland, swallowed poison in prison like Con- dorcet, shot themselves like Barbaroux, or leaped madly into the Loire and the Rhone after their murdered relatives. In this cowardly fashion they cut the Gordian knot which perplexed them. Even the good men and women of France, who could not look upon life and death -with sneering contempt, came to regard them with dull apathy.",mark
231,"Dorian Gray listened, open-eyed and wondering. The spray of lilac fell from his hand upon the gravel. A furry bee came and buzzed round it for a moment. Then it began to scramble all over the oval stellated globe of the tiny blossoms. He watched it with that strange interest in trivial things that we try to develop when things of high import make us afraid, or when we are stirred by some new emotion for which we cannot find expression, or when some thought that terrifies us lays sudden siege to the brain and calls on us to yield. After a time the bee flew away. He saw it creeping into the stained trumpet of a Tyrian convolvulus.",mark
