passage.number,passage,annotator
53,"What a shameful thing ! Oh, what do you mean I How dare you say such things to me V ' I shall do something more effective than say them to you. If you are not able to restrain yourself, your guardians must restrain you ; your father ' * What have I done to you V I burst in. ' How did I ever harm you that you treat me so cruelly, more cruelly than I would have thought possible from anyone ? My God !",jessica
58,"You know but only one song ; Miss Montmorency may soon be able to sing again, and — "" "" Well, in the meantime, I am to join in the chorus, and I shall soon pick up fresh songs, besides dances. For I can dance, you must own that, you dear old Jennie. Oh, when I think of that servants' bull at Sir Geoffrey's, when I had so many partners, I feel that to dance again like that would set me wild with joy."" The name of Miss Ettie Cranston was duly printed on the bills of the "" Coventry "" entertainments, and care having been taken by the manager and his staff that the beauty and accomplishments of the new singer should not remain hidden under a bushel ; it was, therefore, before an especi- ally crowded and highly expectant audience that Ettie was called upon to appear. The first glimpse which she caught of the sea of faces that were raised towards the plat- form on which she stood, caused her heart to sink within her ; but nature had gifted her with strong nerves, and a certain amount of inherent pride supported her throuo^h the first ao;itating; moments of her entree. But it was to the reception which her beauty gained her that her triumph over natural shyness was due, for loud and long were the plaudits which greeted her ears, and before she had given utterance to a note, flowers from the buttonholes of the smoking audience were freely showered on the stage.",jessica
63,"Henry, in mmd, was twenty years Bob's senior, at least; this one had been borne down by no calamity — had felt no pinching want — that one had been schooled by bitterest experience to look more seriously upon the affaire of life. Henry had many self- imposed responsibilities, (fetters that elevate manhood and give an earnestness to every action,) Bob's sole care was the due exercise of his darling art. It was no wonder then that there was a wide difference in their respective pursuits and opinions. "" I don't object to a row on the river with you any day, but I object decidedly to brawls with watermen."" "" Come, come,"" said Bob, "" every man his own taste ; 3 r ou won't have to fight, you know. lin not blowing my own trumpet too hard when I tell you I believe I can manage a waterman or two just to wind up the day in style.""",jessica
68,"His fair companion told him the plan she had hit upon for giving the particulars that Mr. Hargrave wished in the most complete manner. "" Well might he call you one of a thousand,"" said Bohun ; "" but if he who has not seen you says that, can you wonder at and upbraid my enthusiasm ?"" The lady was desirous of turning the conversation, and casting her eyes on the bed, where some letters were lying open, said, "" Have you any good news to tell me r "" Yes, there is a pleasant letter from Foster, saying that my darling Clara and her infant and my mother are all going on well, but anxious to hear from me again. Then there is a letter from an attorney at York, enclosing two letters from counsel who are to conduct a cause before me in which I am appointed arbitrator. Pray read all the letters, if you please. I shall answer them to-morrow, though I am a little puzzled what to do with the lawyers.""",jessica
73,"It will be the proudest day of my life, whatever it may be of theirs/ replies the enamoured Bobby ; and then Miss Monta- lambert is summoned and introduced to Betha's Jicmce, and the three sit down to breakfast together, and one at least is su- premely happy. But that one is not Betha. She never asks her lover what are his plans or pro- spects for the future. She is content to know that he considers himself pledged to her, and that Sir Willoughby and Lady Frere and the Matthews' will, in due course, be informed of the fact, and see that her personal influence and attractions have had the power to out- weigh all other considerations. It is some relief to Betha's revengeful inclinations to feel that she has succeeded in falsifying the prophecies of her late hostess, and proving that she did not tell a falsehood in order to glorify herself. As soon as Bobby Frere has taken his departure she is naturally subjected to a great deal of * chaff ' on the part of the lively Miss Montalambert ; but it is much easier to bear than it would have been, had her heart been really concerned in the matter. ' Oh, you sly puss !' cries Miss Kate ; ' so this is the work you have been so quietly engaged upon, is it ?",jessica
78,"Yes — we find him very sensitive,"" said Patience ; '' and there's something in the — set of your neckties that has given you a great hold over him."" "" Oh — come ! "" cried Mr. Colville. But Patience watched his rather anguished expression with an unmoved face, and merely repeated her declaration. '' Yes — he had mentioned it before you came,"" she said. '' He had mentioned it more than once — very seriously. It's a curious thing, but it seems to me that one human being never can predict what will most powerfully affect another.",jessica
83,"How happy Mr. Willoughby must have been with such a companion !*' said Isabella. "" Yes, they were indeed the hap- piest playfellows I ever saw,"" replied Mrs. Evans. '* But all that was child- ish sport, and it passed away. I do not know how it was with mv master when she died, for he never came near us then, and he has never been here but once since. We heard he was quite beside himself, as it were. To be sure, he must have been very sorry ; and that was the reason, I suppose, that he did not attend the funeral. It was no want of respect or love either, I am sure ; but he has not such a lofty mind as Lady Rachel, and it would have killed him to have seen tliat sad ceremony."" """,jessica
88,"That good creature despatched him for brandy, and, he being gone, she proceeded very calmly to examine the contents of the packet and the letter. The packet contained a prodigious quantity of manuscript and nothing else. From the letter the landlady -gathered (she could just read) that Messrs. Bilge and Barker regretted that they could not see their way to the publication of . A step on the stair warned her of the visitor's return. ' Look up, there's a dear creatur',' said the landlady in audible solicitude. 'Ah, that's it, my pore darlin'.",jessica
93,"I had rather have half a meal, and eat it where and how I please, than a whole one in a prison. I have no notion of being made a prisoner be- cause I am poor ; I won t stand it. I will go and tell the governor so."" "" And so will I ; and it is odd if my wife is not of my mind by this time, if they deal with the women as they deal with us. My wife won't consent to g-o without her tea, I will answer for her. I'll go and see.""",jessica
98,"Before the altar was a pyramidal green stone, ending in a point, about five spans high, on which the victims were laid, one after the other, on their backs, to be sacrificed. During the whole time perfumes from the incense tree, and other fragrant plants, were burning; — and the groans of the infants, for the older persons seldom suffered a sigh even to escape them, were suppressed hy a sort of low chant from persons appointed, who all the while spinning round, wounded their flesh with lancets made of shells, and spurted the blood upon the kings feet. '7 The chief priest, or topzlm, held in one hand an idol with green eyes, saying to the purport, i ' This is your god."" He wore upon his head a crown of green and yellow feathers; he had his office by inhe- ritance •, he had gold rings with green stones in his ears, and under his lip, about the middle of his chin, a little pipe made of blue stone, his face daubed black. The other five priests wore wigs very much curled, with leathern thongs wound about them, girt in the middle of the head, and small paper tar- gets on the forehead. The hearts of the sacrificed were presented to the idol.",jessica
103,"Both the latter were in a bad temper this morning, with the early rising, the bill, the rain, and the cloak-straps ; even Fero had wept, and would not come near his aunt, who looked to him as the sweet drop in a bitter cup. But in a sloppy and smutty corner of E 2 LIBRARY UNIVERSE OF ILLINOIS the deck, Mayne came to her. His heart was full of bitterness too ; for he could not regard himself as either a faithful lover or a martyr to duty ; still, if there was another look to be had at Cordelia's bonny face, no small thing should stand in his way. ' So you have shipped yourself all aboard of a ship, and found the most uncomfortable place in it.' ' I shall have it to myself. Oh, Mayne, I wanted you to see Fero, and he has gone below all screams and smudges ; you would never believe how good and pretty he is.' '",jessica
108,"How is this ? "" said the Count, "" I thought you said that somebody was coming."" "" I did fancy that I saw some one,"" returned Albert, with great hesitation ; "" but I — I be- lieve it was a delusion."" "" A dehision ! "" repeated the old Count. "" Are you turning Mystic, then ? I thought you Rationals did not allow of any delusions, or at least would not confess that delusions could produce any effect upon your minds ?",jessica
113,"This I will tell you — perhaps I have told you before ? — some one saw what y oil did, and told me."" So engrossed was Angela in sending her memory back into the painful past that all recollection of that little Zozor of the Cirque, who rather oddly had wished to see her sister, passed out of her mind. "" You are very dear to Henry North,"" said Clemence, sadly. "" Yes, now. How he will shudder away from the very thought of me when he knows."" "" Then,"" said Clemence, taking her hand, "" you feel that your courage will not fail you f "" I cannot let you be so noble, and be myself so vile, Clemence.",jessica
118,"Which simply means, do exactly as you like, and have no w^ill of my own in anything,"" said St. John coldly. '''No! no! I am not such a tyrant!"" she an- swered pleasantly. "" I only want what is best QUIETNESS. 73 for YOU — and best, according to God^s law and riglit/^ in a lower voice. "" I believe you mean to be a good girl, Isola/' said St. John after a pause. ""I do not think you have been improving of late, but that is merely from the influence of this vile woman here.",jessica
123,"' One might be sorry to see you make such a sacrifice, but no one has a right to judge, much less misjudge you.' He was touched by the straightforward manner in which she had made her little ex- planation, though it seemed to him helplessly inadequate. If he stayed on, as he almost thought he would stay, for a few days, he resolved to devote himself to shaking Xorma out of these petty and narrowing trammels ; he could not but remember how in old days she had turned to him very eagerly, and lie told himself that he was now more fitted than then to be a guide. But for the present he let the matter drop, in spite of one or two sarcastic remarks from Lucy upon her sister-in-law's un- expected disclosure. He was careful to keep the conversation after this upon common ground, and to let Xorma feel at her ease. When he went away Lucy drew a deep breath. '",jessica
128,"I say we, meaning my- self and curate, and my excellent wife, whose large and sympathizing heart, wise little head, and bountiful hand have been actively VOL. ITT. 20 engaged year after year, in the blessed work of improving tlie individual character, and domestic life of the poor."" "" I hear, brother, what an excellent wife the Lord has given you, and what a bless- in 2: she has been to this parish. What a terrible hindrance or invaluable help to a minister in his work a wife may be ! ""I was just saying,"" continued the speaker, addressing Mrs. Pishpond, who had just entered the room, '' what a 'elp or hin- drance a wife may be to a minister in his great and noble work ; and how thankful my brother should be that he has such a helpmate in his duties, as you have shown yourself to be."" "" A very inefficient helpmate, I fear, in many points, Mr. Springley ; for so many and difficult are the duties devolving upon a Yicar's wife, that the best of women cannot but fail in their due discharge; and each day I feel more and more, so far as my own experience goes, liow grievously short I have fallen in their fulfilment."" "" I suppose every faithful worker in the Lord's vineyard must feel the same.",jessica
133,"Deuteronomy, 2s. 6d. Protestantism, The History of. By the Rev. J. A. Wylie, LL.D. Containing upwards of 600 Original Illustrations. Three Vols. gs. each. Quiver Yearly Volume, The.",jessica
138,"She must be upset about baby's death.' ' She doesn't know of it yet, Kathleen ; she was told that the child was ill, but she could not come up. She has been upset all the evening/ 1 About what, papa ? Let me go to her!' 1 No, no, Kathleen ; much better not to- night. Good-night, my love,' he said, kissing her. When Sir Patrick entered his own room his wife asked him : '",jessica
143,"If you go there will be no one to talk to him about his authors, or find quotations in his books. Oh, aunt, you must not go. It will be so lonely when you are gone, will it not, Chud ?"" Chud said nothing, perhaps he did not hear from where he stood beside the fire, looking into the glowing coals. "" Say you will stay another fortnight,"" con- tinued Maud, going over to her aunt and kissing her. "" Be a good auntie, and let me have Carlotta a little longer."" "" Carlotta can stay, my dear, if she likes,"" said Lady Mildred, graciously.",jessica
148,"The claim was fully admitted, and Tom's health was toasted with all the honouri. On the "" scrape me and I'll scrape you "" prin- ciple decreed by the Chair, Tom O'Loughlin pro- posed Toby Purcell's health. Tom's body was bent ; his hands, as usual, revolved smoothly round each other ; his voice was soft and insinuating, and his wrinkles curved into their most obsequious smile, "" Toby Purcell,"" he said, "" was the best-natured, the most open-hearted, the most generous, the most hospitable gentleman, within the circle of the sea. VOL. I. s Toby was never without his pleasant joke, and his pleasant face.",jessica
153,"That would be worse than going out on the street by yourself But don't fret yourself. You and I will get along very well together, and I shall be able to find plenty of things to interest you."" "" I suppose if Arthur were here I could go out with him ? "" "" Who is Arthur ? "" Violet looked hesitatingly at Mrs Yorke before she made any reply. Again some vague mistrust of this woman's sincerity and truthfulness flitted through her mind, and some subtle instinct whispered "" Beware.""",jessica
158,"Being the Romance of a Social Evolution. By Clo. Graves, B. L. Farjeon, Florence Marryat, G. Manville Fenn, Mrs. Campbell Praed, Justin Huntly McCarthy, and Clement Scott. With 28 Original Illustrations by Dudley Hardy. In cr. 8vo, cloth gilt, 3.?. 6d. BY H. B. MARRIOT-WATSON The Web of the Spider.",jessica
163,"Had they stood by me and the ship, their lives would have been sa- ved; had I gone with them, mine would have been lost ; who can say which is for the best ?"" u Well,"" replied his friend, "" I know your case now, and can the better help and advise. I will be true to you, Clement, as the blade to the hilt ; but I cannot think that you should leave us. As the old Scottish song says, < Waes my heart that we should sunder. 7 — But come, you will aboard with us to-day, at any rate ?"" "" I have no other place of refuge,"" said Cleve- land, with a sigh. He then once more ran his eyes over the bay, directed his spy-glass upon several of the vessels which traversed its surface, in hopes, doubt- less, of discerning the vessel of Magnus Troil, and then followed his companion down the hill in silence, CHAPTER V. I strive like to the vessel in the tide-way, Which, lacking favouring breeze, hath not the power To stem the powerful current — Even so, Resolving daily to forsake my vices, Habit, strong circumstance, renewM temptation, Sweep me to sea again — O heavenly breath, fill thou my sails, and aid the feeble vessel, Which ne'er can reach the blessed port without thee ! ' Tis Odds when Evens meet.",jessica
168,"There for a moment they saw the whole body of the animal, as he scrambled out of the water up against the steep side of the moat — when suddenly, and most unaccountably to lady Margaret, he disappeared. *I have it!' cried lord Herbert. 'What an ass I was not to think of it before ! Come down with me, my dove, and I will show thee. Dorothy's Marquis hath got into the drain of the moat ! He is a large dog, and beyond a doubt that is where the young roundhead entered. Who could have dreamed of such a thing !",jessica
173,"But I'm not throwing it about ; it is all in the bank."" "" I reckon Mr. Jingles — I mean your son, ma'am — has it there in his own name."" "" Not at all, cap'n. The money is mine."" Captain Tubb whisked round the brim of his hat with both hands. "" There have been changes since you've gone,"" he said. "" For one, there is old Sam Ceely married."" ""Sam Ceely!"" echoed Mrs, Saltren, and dropped her hands in her lap.",jessica
178,"Look you at Master Colter, the blacksmith, a most masterful man, that could throw a quoit with any player in the county, to say nothing of his singing like a thrush from morn till night. Well, what has happened to him since he married old Smith's daughter ? Why "" — in a tone of deep commiseration — ■ "" he's j'ined the Methodies."" "" I cannot imagine, sir,"" said Mr. Tickel to the bookseller, ""what object the priest and his accomplice had in degrading the baronet."" "" I hope to show you, sir. In six months from the death of the first wife a son was born to Sir Gilbert by the second. From the first this child was like neither Sir Gilbert nor tlie mother ; but as be grew the resemblance between him and Father Dominick became so marked that it was impossible to doubt the paternity."" "" Like as two peas in a cod,"" put in the landlord. """,jessica
183,"Why, Miss Everdene, it is in this manner that your good looks may do more harm than good in the world.” [The Sergeant looked down the mead in critical abstraction.] “Probably some one man on an average falls in love with each ordinary woman. She can marry him: he is content, and leads a useful life. Such women as you a hundred men always covet—your eyes will bewitch scores on scores into an unavailing fancy for you—you can only marry one of that many. Out of these say twenty will endeavour to drown the bitterness of despised love in drink: twenty more will mope away their lives without a wish or attempt to make a mark in the world, because they have no ambition apart from their attachment to you: twenty more—the susceptible person myself possibly among them—will be always draggling after you, getting where they may just see you, doing desperate things. Men are such constant fools!",jessica
188,"He raised himself from the leaning attitude, and took his hat. “Well, we'll talk about it another time,” he said carelessly. “I can't stop long to-night, so I'll go up and see your grandfather.” Jane rose silently. “I'll just look in and say good-night before I go,” Sidney added, as he left the room. He did so, twenty minutes after. When he opened the door Jane was sewing busily, but it was only on hearing his footsteps that she had so applied herself.",jessica
193,"“Only think,” said the Jew, shrugging his shoulders, and stretching out his hands, “only consider. You've done what's a very pretty thing, and what I love you for doing; but what at the same time would put the cravat round your throat that's so very easily tied and so very difficult to unloosen—in plain English, the halter!” Mr. Bolter put his hand to his neckerchief as if he felt it inconveniently tight, and murmured an assent, qualified in tone but not in substance. “The gallows,” continued Fagin, “the gallows, my dear, is an ugly finger-post, which points out a very short and sharp turning that has stopped many a bold fellow's career on the broad highway. To keep in the easy road, and keep it at a distance, is object number one with you.” “Of course it is,” replied Mr. Bolter. “What do yer talk about such things for?”",jessica
198,"When they met, he behaved to her with his usual easy freedom; but devoted himself to Lady Jane, who was uncommonly gay and agreeable. Lord Splendormore, who had been expected the evening before, was not yet arrived i9or were Sir John and his bride. CHAPTER VI. A disaster, an ariival^ and the es- planade. The next day, the Earl and Countess of Loughmead, with Lady Ellen, dined at Rockalba Castle, and just as the des- sert came upon table, Sir John Hazard was announced. He entered with a mord serious look than common, and Lady Loughmead immediately asked, in a F 2 voice voice of apprehension, why her' son - was not with him. ""His Lordship will be here in the evening ; he is coming in a post-chaise.",jessica
203,"That the nob left ufe v/e can make of under ) anderftaiiding is to convert it into hap- pinefs ; and that every talent which does not conduce to that great end,- ought rather to be confidered as a burthen than a. bleffing to the poflelTor. — That the mind,. 1 like the eye^ ever magnifies the objeft of ■ fear or averfion, which often, on a ftrid: I -examination, excites no other fentiment j than contempt.",jessica
208,"CHAPTER II. The weck has gone, and now it is the night before Christmas. In her cold and cheerless room, the mother of Jo and little Tim is sitting, thinking sadly that her little boys Christmas this year will not be a very happy one, when a loud knock at the door makes her start. "" Can it be that Santa Claus has remem- bered my darlings ? "" she said to herself, half laughing. She opened the door quickly, but no per- son was to be seen. She was just going to close it again, when she thought she saw some large object on the step.",jessica
213,"Dost thou not fear God?"" said the meek but undaunted Noble, with a firm voice and unshrinking mien. "" Dost thou not fear God, that thus thou comest to his holy temple ? To what manner of man was it told, that it were better for him a millstone were tied about his neck, and he cast into the sea, than that he should offend one of these little ones ? I tell thee, the angel of that helpless babe doth, even now, behold the face of his Father, which is in heaven, and beareth witness against thee. — Go forth. I myself will follow thee, whithersoever thou wouldest, be it to judgment or to death; but this hoof-clatter in the courts of the Lord is a most abominable sin."" """,jessica
218,"By ttioee who observed her emotion it was s posed to be occasioned by the agitalion of mind im ■which-tfci'danger of the queen had Ihrowti ] added to^the oppression of the beat eameil'1^ iHl cn>wd of persons which filled the apaitment, anl abe WQ8 diiedtly remQ\>ed from rt into pur»r 4ir.'' Edward saw-at<his entrance Iwt one object,' ' that was thti <in8en. \Mtb a modest expres^ott i Iho sattsfaotion which glowed in his heart b^mN from his eresy he advanced' ttytrardi; the spot M-h she was awaiting liis approach, 'and siAVle tyitdtt'-l right knee beforefKr.' '""'■ ''■■ Elizabethrdsedbim iKithh^rWira hand fimWli poiilura of JiuiniliacionL' -and, adtompanjiag irards with aBtnileof'thfr moBt affable henigAit ahe said — "" WoidE laeve K wcttk expreaaiati oftt gratitude with Which myheert^Miti^'fd^ T64^ loy< alty ; ask of mc any boon as the rccouipeuMf VT yff^ "" *>e«9'iw>«»wed,M arms; permit me now to i estwiih^ifriUbf ac^^fiifi)^ """,jessica
223,"1£ the little chap lives he should go with us — what do you say ? ' ' As I have said before ; that it is the only way back to peace and honour, if you have courage enough to pay the penalty/ The words were spoken almost mechanically, and the other looked in his face and uttered a low mockins^ laus^h. ' I am scarcely the dupe you take me for,' he said ; ' if you really thought I spoke in good faith your shame and terror would be tenfold mine. You would urge me for our mother's sake to save the name you bear from public disgrace, and double your bribes for my expatriation. Own it ! You have married lately — was that an honourable thing to do ? ' '",jessica
228,"Thus did the demons of despair Her wildered sense to madness strain, Thus did her impious clamours dare Eternal Wisdom to arraign. She beat her breast, her hands she wrung, Till westward funk the car of light, And countless stars in air were hung To gern the matron weeds of night. Hark! with high tread, and prancings proud, A war horse shakes the rattling gate : Clattering his clanking armour loud, Alights a horseman at the grate: And, hark !",jessica
233,"I shall need all your help."" My dear Anne laid herself down, and smiled her sweet smile of content. She loved to think herself of use, and as for me, I loved to make her smile. *^ I must find my spectacles, Anne. It is some- what humiliating to find these vastly extolled eyes being reduced to spectacles — is it not, my dear f Anne gave me one of her fond looks, that spoke more to me than all the love and admiration of younger days. I prized them then the most.",jessica
238,"But she had enough of the business for this day ; so with a few more sweet words and recommendations to Mabel not to gener herself in asking everything neces- sary to make Miss Jones comfortable she took her leave. The Doctor came the next day, as he had promised, and every day for many weeks longer. He was paid by the year for attending the school, so his visits cost no extra charge, and her pupils took care that no comfort should be wanting to ensure their teacher's recovery. It was slow, and for a long time doubt- ful ; but in the midst of her sufferings there came to Miss Jones new and unsuspected revelations of love and gratitude that glad- dened her heart, and sweetened the bitter cup she was drinking so resignedly. From her English pupils she had always met with respect and consideration, there was nothing very strange in their redoubled kindness now that she was ill and espe- cially dependent on them ; but that those rough, unruly French girls who had spared no pains pour lui /aire la vie dure as they expressed it, should come flocking at all hours, full of affectionate anxiety, to inquire for her, this was more than she had looked for. With all their thoughtless turbulance, they were kind and tender-hearted. It was fair game to turn Miss Jones' phrase- ology into ridicule, and to mimic her peculiarities.",jessica
243,"By Mrs. HuxGERFORD. AuthoF of "" Mollj Bawii."" LAXDIXG A PRIZE. (6th Edition.) By Mrs. Edward Kennard. A CRACK COUNTY. (5th Edition.) By the same Author.",jessica
248,"''You were inspired,"" he said with a grave smile, addressing me ; "" you did not observe our entrance."" I was about to reply, when a loud, ap- palling crash of thunder rattled above us, as if some huge building had suddenly fallen into ruins. It startled us all into silence for a moment, and we looked into each other's faces with a certain degree of awe. "" That was a good one,"" remarked Mr. Challoner. "" There was nothing undecided about that clap. Its mind was made up."" Zara suddenly rose from her seat, and drew aside the window-curtains. "" I wonder if it is raining,"" she said.",jessica
