passage.number,passage,annotator
55,"Discourse on Prophesy, p. 134. the patriarchal worship the visible mark of circum- cision, as a seal of a covenant between himself and Abraham. *' Yet how fit soever such a visible mark might be, to keep in remembrance the covenant between God and the family of Abraham, it was found in ex- perience, insufficient to preserve them from the idolatrous customs of their neighbours. Some new laws, some further constitutions of worship were to be added, or, as the family of Abraham were situated in the midst of idolators and unrighteous ones, it was foreseen they would soon fall from the essen- tials of religion ; and instead of preserving a right knowledge of God, of his being, perfections and go- vernment, a just sense of the reverence all men owe to him, from a firm belief of his being, power, domi- nion, justice, and goodness, and an hearty concern to obey the known will of God in all things ; doing what is pleasing in his sight, seeking, and hoping their perfection and happiness, in the likeness, and in the image of God ; they would, on the contrary, serve other Gods, and make their idolatry, not a matter of harmless speculation, but a fountain of the most dangerous immoralities ; and therefore, as it was highly fit in itself, and well becoming the wisdom of God, he gave Moses a Christianity in hieroglyphics, that is, a tabernacle, a shechinah, a priesthood, an altar, sacrifices, laws moral, and cere- monial, with every constituent part of the Hebrew ritual; being figures of a better shecbinah, temple, priest, altar, sacrifice, revelation, and blessings — figurative representations of the more perfect consti- tutions in the days of Messiah the King. This was in the year 875 after the flood, and in 1491 before Christ. By a ritual so becoming the wisdom of God, given for a preservative against idolatrous princi- ples, and as a dispensation preparatory to that future heavenly religion, the Hebrew nation were guarded against the surrounding corruptions of the world, and raised up the defenders of true religion, to pre- serve the knowledge and worship of the one true God. *'",matt
60,"I WISH MYSELF BACK AT CHICAGO . . . ... 82 CHAPTER Y, But a geeat Change comes over "" the Hut,"" and I AM GLAD I left ChICAGO 96 CHAPTER VI. A Strange Discovery 114 3Part IrM. CHAPTER T. In the Shadow of a Crime 120 CHAPTER 11. On a Sea of Doubt and Wonder .... 130 CHAPTER III. ""Which proves the Truth of the Adage that you GO from Home to hear News . . . .140 CHAPTER IV.",matt
65,"That is impossible,"" replied the duke ; "" for you know my military avocations at this time require my presence here."" "" And here,"" said I, "" you will fall be- neath the poniard of our secret enemy."" My father was going to urge something further on the subject, when a messenger D 3 arrived arrived from court, with dispatches from the king, informing us that Sebastian had been beset by banditti, and seriously wounded ; at the same time conveying a sarcastic message from donna Isidore, thanking me for the frequent visits I had lately paid her. I had been betrothed from infancy to this lady, who was of high birth, possessed of immense wealth, a fine figure, a tolerable share of beauty, a great stock of pride, and a tyrannical temper ; such was the wife, my father and the king, who had my interest much at heart, had chosen for me. It must be confessed, I bad not been the most attentive lover in the world, and certainly had given the lady some little cause of complaint; for supposing she must inevitably be mine, I did not think it necessary to trouble my head about her ; — such are the ill elBPects arising from parents betrothing their chil- dren in infancy! But to return. The duke had no sooner read the dispatches from the king, than he changed his mind respecting respecting my quitting Spain, saying — """,matt
70,"Why the bkzes be talking of dying ! That's the way, tho' in France and in Spain, Where love is not real, but acted. You must always purtend you're insane. Or at laste that you're partly distracted. Tol lol de lol, &c/ "" It is veiy unlikely that the reader will estimate Billy's impromptu as did the com- pany ; in fact, it possessed the greatest of all claims to their admiration, for it was partly incomprehensible, and by the artful intro- duction of a word here and there, of which his hearers knew nothing; the poet was well aware that he was securing their heartiest approval. Nor was Billy insensible to such flatteries.",matt
75,"Buoyed up by these thoughts, his report on board the Adalid was free from those humiliating details, which, even if he had wished, he would have found no voice to communicate to his royal cousin. Monina's task of imparting to her friends the destitute condition in which their sovereign arrived, was even easier, “He is come among tall men,” said the pompous Heron, “who can uphold him for the better king, even to the satin of his doublet.” “And fight for him, even to the rending of our own,” cried Skelton. “And die for him, as he must too, when all's done,” said Trereife. “A soldier's death is better than a dastard's life.” “We will have out our men in goodly array,” said Heron. “Master Skelton, are the doublets cut from that piece of sad-coloured velvet, last of my wares, slashed with white, as I directed?”",matt
80,"— But if wc make peace, then farnine will arisc ; for our people are more than can be fed. Wc ask food and receive not. Stranger. —Ve ask and receive not, because ye ask amiss. As well might ye expect the cold and hungry to receive, because ye say, "" be ye warmed, and be ye filled,"" as because ye only pray. Jehovah fed our fathers in the wildemess with manna rained down from heaven : but he hath long given us fields to till, and bid us rejoice in the harvest. Samaritan.",matt
85,"We offer thee peace, to perform the rites due to the ashes of the mighty king — take it or refuse it, now, and at a word."" Onegisus caught the arm of Ellac, as he was about to reply, and whispered with him eagerly for several minutes. Ellac looked down sullenly on the ground for a moment, and then raising his eyes, replied, M Peace ! let it be peace for those two days ! I swear to keep it inviolate by the ashes of my father, and by the eternal gods. But after that, oh Arderic, will come the trial between thee and me. The hosts that have conquered under Attila shall not be divided under his son.",matt
90,"I did not desire his death. I would have saved his life had the power to do so been given to me. Oh God ! ' she cried, ' it is cruel to talk or to look so as to make me feel as if the responsibility of all this were mine ! ' She clasped one hand over another upon h ji heart, drawing erect her fine figure into a posture full of indignant reproach and passionate depre- cation. Indeed, had I never met her before and not known better, I should have taken her to be some fine tragedy actress who could not perform in the humblest article of an every-day common- place part without dressing her behaviour with the airs of the stage. 1 Pardon me,'",matt
95,"Women seldom ask the advice of their friends till they have quite made up their own minds on the subject, so it was not with any idea of being' deterred from her project^ or having"" its futility pointed out that she submitted her plan to Mr. and Mrs. Vallack, at breakfast time. Dr. Bag-ot must be seen and consulted, and time would be required ', but Flora had somethino- to look forward to. "" Even the chance of a little g""ood rather than sitting down quietly under the certainty of all evil/^ said she ; "" give me even fear and dread of misery and disappointment, so as I am not deprived of every hope of happiness and ex- pectation of success/' With this httle beam of sunshine on her spirits^ Flora put on her shawl to enjoy the brief hour of March sunshine out of doors^ comforting"" herself with the possession of Guy's letter. It was something* to feel even that in her bosom. She would have escaped from Mr. and Mrs. Vallack to read it again, but it would seem selfish to leave them; besides, on the broad gravel walk was where it was dryest and pleasantest.",matt
100,"Don't take the trouble to deny it, for I know everything. I sat behind you last night at the theatricals, and heard every word you said to each other. And now Godfrey Harland, who holds the trump card — you or I ? ' He did not attempt to answer her, but turned his face towards the open door, and stood gnawing his moustaches, and wondering how he should extricate him- self from the mdrass of perplexity in which he was sinking. * You did not give one thought to me — left to struggle with poverty as best I could. Had I remained behind, I might have become anything — a lost, abandoned woman — God knows ! But I have fol- lowed you, as you see, and I am here to claim you as my husband.' *",matt
105,"In the church of Santa Maria- sopra- Minerva, Roma."" And the painter is a man— Hans Riemann, you see. Well, all one can say is that some men have much nicer tastes than some women. . . . Hadn't we better go on to the next room, or we shall not get it all done before lunch .^' ' Oh yes ! Come !' They walked away.",matt
110,"no, no ; the noblest deer hath thera as huge as the rascal. Is the single man therefore blessed ?— No ; as a walled town is worthier than a village, so is the forehead of a married man more honourable than the bare brow of a bachelor ; and by how much defence is better than no skill, so much is a horn more precious than to want."" The P — — and his party were now about about to turn away, when Mr. S advanced, and addressed the sibyl thus: "" You secrer, bihek, and midnight hag, I conjure ^ou by that which you profess (Howe'er you come to know it), answer me .- What fame posthumous will be mine r"" The sibvT turned to her book, and said^",matt
115,"Mortiz Ally was the Nabob's brother-in- law, bound to him by every tie of gi-atitude and affection ; but amongst these people such ties count for nothing when once interest is at stake. The Nabob knew that inherited wealth and parsimonious habits had made Mortiz Ally the richest man in his dominions, and was determined that he should con- tribute to the satisfaction of the greedy Morattoes in common with the other governors of the province. None of these gentlemen were too well inclined to disburse their treasures, and needed but the example of a respectable leader to refuse obedience to the Nabob's demand. They, therefore, took occasion to hint to Mortiz x\lly that Nizam-al-Mulk, the Soubah of the Southern Provinces, would be inclined to favour rebellion against a prince who had defied his vice-royalty. ' In the East, rebellion generally means assassina- tion.",matt
120,"Ah ! my poor girl, you suffer worse than I do, for your pains are of the heart."" "" I M^ll go, sir, I will go !"" cried Helen ; '' though it is very bitter so to do, yet I will go, if it can serve Mademoiselle d'Albret, even in the very least."" "" It may serve her much, young lady,"" said Estoc. "" As this sad affair has happened, and she has fallen into the hands of the Leagu- ers, beyond all doubt they will send her to Marzay ; and then the old story will begin again, and no devilish scheme will be too bad, to drive her to marry Monsieur de Chazeul."" *' Oh, no, no, no !"" cried Helen vehemently ; "" he will betray her — he will make her misera- ble, as he has made me. What right has he to marry her ?"" she continued, with her brow contracted and a wild look coming into her eyes. """,matt
125,"His voice shook ; his hand, holding hers, was chill and cold. ""Believe me — believe me, dear Mrs. Ker- shaw, there never shall be anything in my life that shall make me unw^orthy of the love your dear one bore me ; never anything that shall make me unworthy of the sacred kiss she sfave me — the kiss that was her last o good-bye."" Mrs. Kershaw was leaning her arm upon I HAVE NO ONE BUT YOU ! "" 53 the table, and had covered her drowned eyes with her hands. "" Do not heed what things you hear,"" went on Cyril, pleading. ""Believe in me, trust me, you who have been my best friend ; be- lieve that even if I am "" Here he halted, and she raised her head and looked at him through her tears. "" If you are in trouble, in perplexity, in doubt, can you not come and tell your troubles to my husband, he who is so wise and good, and would give you such good counsel ?",matt
130,"COLLINS (WILKIE), NOVELS BY. Cr. 8vo. cl. ex., 3s. 6d. each ; post 8vo, illust. bds., 2s. each ; cl. limp, 2s. fid. each. ANTONINA. With a Frontispiece by Sir John Gilbert, R.A. BASIL. Illustrated by Sir John Gilbert, R.A., and J. Mahoney.",matt
135,"I did not think you were so ill,"" said Montgomerie, gently, forcing back the impulse that prompted more passionate pity, for he saw the effect of the excite- ment and slight fatigue she had encount- ered were almost too much for her strength. "" I am not ill, not very ill,"" she an- swered, somewhat bitterly ; Cf anyone may have a cough, that is nothing."" "" But yours is painful,"" Ruy said, meet- ing her timid glance by a grave and tender expression of countenance. "" Surely, after five years of separation, we have other things to speak of than the symptoms of an illness. I hope you for- give me for coming here unbidden. I think you know — if you have not forgot- ten — that it has been the wish of my life to see a faithful picture of Saint Cecilia, and yours is sure to be beautiful."" ""I have not forgotten one word of all the few you ever uttered to me,"" said Montgomerie, somewhat sternly ; "" the hap- piest moments of my life have been ever impossible to forget.",matt
140,"You — my little sister — why what could you do ? "" '-'- Yes, your baby, Madge dear, would like to do something. She cannot bear to see you wearing your heart out over farthings any longer. It is such small work, Madge, this grizzling and scraping and managing ; it would be so much greater to strike out a line of one's own, and thus satisfy the hunger of both mind and body at one and the same time."" Margaret sat down and looked, but did not attempt to si3eak, and as the fire flickered up and cast a gleam of light on her face, its expression of sorrowful surprise filled in the words her tongue refused to utter. Hers was a beautiful face. She had exquisitely chiselled features, soft, sweet, and Madonna-like, with sad grey eyes which told their own tale of patience and lasting endurance, but she wholly lacked the passion which was continually bursting forth in Pettita, nor could she comprehend its surgings, or follow its sudden storms and vagaries.",matt
145,"A few scattered shot from Peachy's advanced guard broke in upon these regrets; Richard in a moment recollected that this was a time for action, not for words. He issued a few commands as to the position of his troops, and riding to their front, addressed them: “My merry men, and very good friends,” he cried, “let us recollect that we are soldiers; our lives depend upon our swords; draw them for the right, and be strong in it. Our enemies are chiefly raw recruits; cold friends of a tyrant-usurper; but they are many, and death is before us; behind our vessels, the wide ocean, safety and freedom: we must retreat, not as cowardly fugitives, but as men who, while they see, fear not their danger.” The order of the march was speedily established. While the rear retrograded, Richard, with a hundred chosen men, made a stand, receiving so well the first onset of their assailants, that they were staggered and driven back. “In good hour, spare neither whip nor spur,” cried York; and turning his horse's head, he galloped towards his retreating friends. Peachy, who believed that he had them in his toils, followed slowly and in good order.",matt
150,"He had letters to the chiefs of the department at all these places, and to the Head of the whole Siberian Commission at its centre in Perm. "" An adventurous young Englishman,"" his friends thought him as they gave their introductions ; but they doubted his energy holding out beyond Novgorod, and they strongly advised him to test the fascinations of St. Petersburg instead. But Gilbert was determined, and quite dauntless against all persuasion he set forth. At Perm he procured an interpreter, one of the onlv three men who, in these remote regions, understood both ""Little Russian"" and French ; and thus accompanied, he proceeded onwards again. In a^Teljega, with a trusty moujik driver and four fast fleeting steeds, he started, and soon the lono^ monotonous travel- ling of the wind-swept Steppes became fami- liar to him. Through days that seemed endless and innumerable, he skimmed across those snow-clad plains. He drove through the drowsy air of wonderful moonlit nights, VOL. III.",matt
155,"King Jamie carried this prejudice to England, and is known to have abhorred pork almost as much as he did tobacco. Ben Johnson has recorded this peculiarity, where the gipsy in a masque, examining the king's hand, says, —you should by this lineLove a horse, and a hound, but no part of a swine. The Gipsies Metamorphosed. James's own proposed banquet for the Devil, was a loin of pork and a poll of ling, with a pipe of tobacco for digestion. The liquor was supplied in the same proportion, and under similar regulations. Excellent claret and champaigne were liberally distributed among the Chief's immediate neighbours; whisky, plain or diluted, and strong-beer, refreshed those who sat near the lower end. Nor did this inequality of distribution appear to give the least offence.",matt
160,"If I do not succeed in putting you altogether out of my mind, I would sooner be able to remember you — as you were."" A spasm of pain passes across her face, leaving it deadly white. For a moment she seems about to turn, and escape from his presence. Then with an effort she faces him again, and says simply : "" You mistake me. I am only here to give you something which is yours by right, which I think you ought to have. I found this packet yesterday in an old desk of my father's.",matt
165,"— Authority of the Fathers for Practices not to be proved by Scripture. — Jones of Nayland and the Unitarians. — Council of Trent opposed to the Fathers. — True position of a Protestant.— The Faith once delivered, &c. — How to battle with Popery. —",matt
170,"Directly the fiddles were laid down, Mr. Penny's spectacles put in their sheath, and the text had been given out, an indignant whispering began. ‘Did ye hear that, souls?’ Mr. Penny said in a groaning breath. ‘Brazen-faced hussies!’ said Bowman. ‘Trew; why, they were every note as loud as we, fiddles and all, if not louder.’ ‘Fiddles and all,’ echoed Bowman bitterly. ‘Shall anything bolder be found than united woman?’",matt
175,' he cried. ' Oh ! it is — it is Francesca ! You ! — you ! — you ! have come to see me again after all these years ? I thought you dead long ago —dead.,matt
180,"As we stood, once more utterly depressed, I thought I caught a sound, to which I called the attention of the others. It was very faint, and very far off, but it was a sound, a faint, murmuring sound, for the others heard it too, and no words can describe the blessedness of it after all those hours of utter, awful stillness. “By heaven! it's running water,” said Good. “Come on.” Off we started again in the direction from which the faint murmur seemed to come, groping our way as before along the rocky walls. As we went it got more and more audible, till at last it seemed quite loud in the quiet.",matt
185,"Whh a Frontispiece. Crown 8vo , cloth extra, 3s. 6J. ; post 8vo, illustrated boards, 8s. CROKER (BTM.), NOVELS BY. Crown 8vo, cloth extra, 3». 6d. each ; post 8vo, illustrated boards, ^i"".",matt
190,"But he did not spend this money ; from the moment he had determined to enfranchise himself socially, he had set it aside religiously, with a growing interest, worthy of a miser or a millionaire. Before Geraldine had left town, she had offered him more than she had ever done before, and he had refused it, exhibiting his privily-hoarded store with a kind of grim glee, for he considered such a store all-sufficient for every emergency even of an art career. So positively refusing, Geraldine could not make him take any more money, for his will was as much stronger than hers as his intellect was weaker, and she left him, inly wondering herself how he had contrived to save it, when she had spent twice as much in the same time — not on her dress, for that was ever simple, but in baying the costliest and most charming presents for Diamid, such as could be of no'possible use to such a man, or, indeed, a man at all, and in throwing away coin on every crowd of beggars, or single beggar, that beset her car- riage, and whom her servants dared not drive away for fear of receiving their discharge — for by all servants who had ever lived with him, Albany was literally idolised, a rather singular tribute to the goodness of heart of one whose development, whose breeding, and intellectual perfectness, were utterly above their compre- hension. Before she left Geraldi, however, Geraldine charged him to let her know when he wanted money, adding ^^ I shall not tell Diamid, because you are foolish, and fancy he does not like you, but you don't mind asking me for any- thing ; I would take anything from you^ This was balm to Geraldi, he felt as though he and she had a secret between them which her husband could not share. In his note to Eodomant, Geraldi had touched his taste by employing the fewest words, "" I am miserable, unfortunate, and proud.",matt
195,"Which, laid on an eye, that grieves. Shows each sprite of grove, or rill. "" Three hazel- wands peel smooth and white. Just a twelvemonth old — no more ; Thrice on each wand the full name wnrite Of the Fay you would implore. '' Then in earth these wands consign ; In earth, that elfin footsteps tread.",matt
200,"1 Belongs to gentlefolks if ever a bairn did f — ' More like a little lord, wi' his fine clothes, and those fearless eyes of his, like a lion's !' 'How came he here, though, on the sands, by himself?' was a very general question; and the query was one which it was easier to ask than to answer. Clearly, no relative, no friend, no servant was in sight, either on shore or cliff-crest, whose presence could account for that of the solitary child. It really was as though the tiny creature — he could not have been more than four years old — had dropped from the sk} T upon that bleak and desolate beach. How came he here ? To whom did he belong ?",matt
205,"But that is not all : she has left the whole of her fortune to le pere Maubois ! This is, indeed, a heavy blow ; and pauvre Florestan and I are nearly overwhelmed by it. I have long expected that she would have bequeathed a considerable portion of her wealth to her Jesuitical confessor; but, that she would leave him all, never entered into my mind. The only legacy I have received is a letter filled with reproaches for my extravagance and errors, and an exhortation to turn from my evil courses ere it be too late. My liaison with the due she stigmatises as a crime of the deepest die, meriting opprobrium here^ and perdition hereafter. In short, never was there such an epistle. It is, however, well calculated to preclude any very deep regret for the writer ; though it prevents not my chagrin for the loss of my fortune.",matt
210,"Don't you see? "" This was the answer — "" Furvoket much at my rude tongue, A dish hrath at me he vlung. Which so incensed me to wrath, That I up an hnack un instantly to arth. Diddle-diddle ! '' "" As for your Princess Sheila, I firmly believe you have some romantic notion of marrying her, and taking her up to London with you.",matt
215,"She opened several. In one room she was frightened by a bat, which had very nearly put her candle out. She went on a little, paused, and began to lose heart in the dismal solitude, when on a sudden, a few doors farther on, she thought she heard Madame's voice. She said that she knocked at the door, but receiving no answer, and hearing Madame still talking within, she opened it. There was a candle on the chimneypiece, and another in a stable lantern near the window. Madame was conversing volubly on the hearth, with her face toward the window, the entire frame of which had been taken from its place: Dickon Hawkes, the Zamiel of the wooden leg, was supporting it with one hand, as it leaned imperfectly against the angle of the recess. There was a third figure standing, buttoned up in a surtout, with a bundle of tools under his arm, like a glazier, and, with a silent thrill of fear, she distinctly recognised the features as those of Dudley Ruthyn.",matt
220,"How could I suspect a man so reli- gious ?"" "" Reeleegious — reeleegious, indeed, why do ye not ken that it is the reeleegious folk that are the greatest scoondrels."" "" I know that is the prevalent opinion, but the truth of it I have never examined, and, except in this one instance, have never expe- rienced."" "" Mr. Huntingdon's proceedings of late were open to every body in the hoose."" "" I depended on Huntingdon from Mr. Roberts's character of him — the old man had employed him many years, and had assured me that he examined his accounts every day, and never found him in the least fraudulent."" M I should just like to ken, how the de'el any mon could have an opportoonety to be fraudulent whose accounts were examined every day — I believe you never examined his accounts at aw."" This simple and obvious truth, had never occurred to Mr. Howel before, his blindness to it had been his ruin, and it now came so for- cibly upon his mind, that he struck his fore- head in agony. "" Haud yor hond, baud yor hond, Mr. Hooeel, you will find mickle good in going on in sic uncoo ways ; I did not mean to hurt your feelings, Sir, aw may be weel yet ; come, Sir, you don't do honor to my Fairintosh, and there is na other body this side the Tweed but yoursel, should have a sip of it— take another glass, Sir, take another glass."" """,matt
225,"He was avowedly an Irishman and a Romanist. I was prejudiced against the one — I was bigotted against the other ; and my aver- sion towards General Sarsfield became uncon- trolable-and unbounded. It was possible that time or a more intimate acquaintance with his character might have in- duced me to alter the feelings which unfavour- able first impressions had given birth to; but an incident occurred which fatally confirmed our mutual enmity. I was proud and tenacious of my manorial VOL. I. G rights. A pheasant having wandered from my preserve, was inadvertently shot by the gene- ral's favourite servant in his shrubbery.",matt
230,"""I'm exerceesed i' my min','' he said, as soon as they were clear of the stragglers, "" aboot the turn things hae taen, doon-by at the Barn."" "" They tell me there 's some gey queer customers taen to haudin' furth,"" returned Malcolm. "" It 's a fac',"" answered Peter. The fowk '11 hardly hear a word noo frae ony o' the aulder an' soberer Christi-ans. They haena the gift o' the Speerit, they say. But in place o' steerin' them up to tak hold upo' their Maker, thir new lichts set them up to luik doon upo' ither fowk, propheseein' an' de- nuncin', as gien the Lord had committit jeedgment into their han's."" ""What is 't they tak haud o' to misca' them for?"" asked Malcolm.",matt
235,"I could deem that they had power to sanctify my words ; and I almost — yes, I do — dare to say, God bless you! and farewell! « R. Arden."" Francesca's tears fell fast upon the scroll, and some time elapsed before either could speak. Guido was the first to break the silence. "" What a vain dream it is,"" exclaimed he, "" which we call life ! First comes the fever, and then the exhaustion.",matt
240,"His sloAV, quiet, yet firm footfall was known amongst those animals as well as their mas- ter's or Edgar Adelon's, and at two or three hinidred yards they had recognised it. After a moment's consideration, Filmer rang the bell gently, and the next instant Olive himself appeared with a light in his hand. He was fully dressed, and his face was grave and composed. "" Ah, father,"" he said, as soon as he perceived w^ho his visitor was, "" this is kind of you. Come in. Helen has not gone to bed yet."" "" I am glad to hear it, my son,"" replied Filmer, "" for I want to speak a few words with you both.""",matt
245,"The first volley of the Highlanders gave a tem- porary check to the enemy, and enabled the 34th and "" old Half-hundred "" to reform in order. The French hne was now, as I have said, within thirty paces, and every lineament and feature of their dark and sallow faces could be distinctly seen at so short a distance. They were now in the midst of all the uproar, the smoke, the blood, the danger, the min- gling of hideous groans and cries, — in short, the hell upon earth of a hot engagement, in which both parties became so heated by the slaughter around them, that all the softer passions were forgotten, and they longed, with a tiger-like feeling, to bury their blades in each other's hearts. Ronald felt his pulses thickening, the blood tingling in his ears, for the sound of the musquetry had deafened them to every thing else, and his heart rebounded within his bosom until he could almost hear it beat ; but it was with feelings the reverse of fear, — a wish to leap headlong among the enemy, to cut them down with his sword as he would whin- bushes, and to revenge the slaughter the terrible fire of so dense a column was making among his gallant and devoted regiment. So thick was the smoke become, that he could scarcely see the third file from him, and only at times it cleared up a little. What was then revealed, served only to infuriate him the more. The Highlanders were lying in heaps across and across each other, — piled up just as they fell ; while their comrades fought above them, firing and reloading with all the rapidity in their power, until struck by a shot, and down they fell to perish unnoticed and unknown.",matt
250,"John of Gaunt, Duke of Lancaster, who governs in his youthful nephew's name, and whom we have most reason to dread, is at Eoxburgh, seeking to make a truce with the Scots. He 3—2 cannot return. Then the Earl of Cambridge is at Plymouth, preparing to set sail to Lisbon, with five hundred men-at-arms, and five hundred archers, to aid the King of Portugal against the King of Castile. The Earl of Buckingham is in Wales. Not one of the three is likely to interfere with us. "" There is no one to resist us, unless it be the King's half-brother, the Earl of Kent,"" observed Wat Tyler ; "" and he will not be able to raise an army, for the nobles hate him, and will not serve under him."" '•'Our march to London will be almost unopposed,"" said the Outlaw ; "" and when we arrive there, the citizens will open their gates, and give us a hearty welcome."" """,matt
