passage.number,passage,annotator,nondomestic,notes
301,"Lucy will believe me—she will forgive you, and—and—O, some good will come by clinging to the right. Dear, dear Stephen, let me go! —don't drag me into deeper remorse. My whole soul has never consented—it does not consent now.” Stephen let go her arm, and sank back on his chair, half stunned by despairing rage. He was silent a few moments, not looking at her; while her eyes were turned towards him yearningly, in alarm at this sudden change. At last he said, still without looking at her—",mark,,
306,"Never mind Captain Cotteril,"" returned Felix, quietly ; "" he understands all about it. I told him I had an important message for you ; a tele- gram has just arrived from the Gate House. I called to speak to Mr. Gresham, and he was out, and Mrs. Gresham showed it to me. Your mother is ill — 'alarmingly ill,' were the words."" ""My mother ill!"" and in a moment Violet's radiant bloom was dimmed, and she looked at him piteously. ""I will repeat it exactly — 'Tell Violet her mother is suddenly and alarmingly ill.",mark,,
311,"The young physician had on his side youth, cheerfulness, hope, and a high purpose ; life was fresh to him, and the entire impetus carried him lightly over the rough places of a country doctor's practice. High practice and low practice, he took all as it came. Merrily he footed it across wet fields, down muddy lanes, across bare commons where wind and rain beat together upon the wayfarer. Nothing lowered his spirits. The most exacting of his poorer patients could not disturb his good-humour. He won everybody's heart, rich and poor ; and Dr. Jubilee, marking this, and finding too that the young fellow always upheld his principal's reputation with loyalty, whispered to Mrs. Marmaduke more than once that the lad was quite thrown away, madam, in this hole-in-the-wall sort of place. Sholto did not think so.",mark,,
316,"Hayling into a con- versation respecting her guest; but, she, either not understanding him, or purposely avoiding the subject, replied in so general a manner that he could not learn anything from her, and yet had not occasion to complain of being treated uncivilly. At length, during a pause in their conversa- tion, footsteps were heard in the passage; and, on Henry turning eagerly to the door, he saw the object of his solicitude enter, accompanied by Charles. Susan was overjoyed to see him ; she knew that he and Edward were very intimate, and, therefore, did not doubt but he could tell her much of which she was most anxious to learn. On hearing that he was immediately about to leave them, she proposed to accompany him a little way on his return. This was what he very much desired ; and, therefore, without allowing her time to change her mind, ex- pressed his pleasure at the proposal, and bidding Mrs. Hayling and Charles "" Good night,"" took his departure. "" You will come with us, Charles ?"" said Susan, turning to him. ""No !"" replied Charles, somewhat doggedly, ""I am sorry I cannot !"" """,mark,,
321,"She says if you did not mean her to take the first opportunity of coming again, you ought not to have made Farlandstoke so agreeable during our last visit. My compliments to the baronet. Tell him I look forward with much pleasure to going over the Castle under his guidance. How does the chapel come on ? We purpose being with you on the arrival of the ' Hero ' on Friday evening. Miriam sends all kind messages to you and your son. "" Yours always faithfully, *'",mark,,
326,"'Hollo! who's that?' cried Mervyn sternly. The figure opened his eyes, with a wild stare, as if he had not opened them for a hundred years before, and rose up with an uncertain motion, returning Mervyn's gaze, as if he did not know where he was. 'Who are you?' repeated Mervyn. The phantom seemed to recover himself slowly, and only said: 'Mr. Mervyn?' 'Who are you, Sir?' cried Mervyn, again. 'Zekiel Irons,' he answered.",mark,,
331,"— Athenaum. "" Both as a work of curiosity and an interesting tale, this volume is, we think, very likely to be popular.""— Ltferary Gazette, The Faithful Servant ; or History of Elizabeth Allen. 18mo, 2*. Od. Boards. Third Edition. *,*",mark,,
336,"Sir John, thoroughly bewildered, looked for advice to Colonel le Garde, who, how- ever, could only shake his head in reply. "" If you will only calm yourself, my dear young lady, and compose yourself sufficiently to supply Mr. Dasliwood and myself with a little necessary information, I will answer any and every question that you like to ask me, in return. Come,"" he added, trying with gentle authority to lead her to a seat, for he perceived that she was trembling vio- lently in every limb, and was obliged to sup- port herself by a convulsive clutch at the table, which was between her and the three men, whom she stood facing. ^' Come, sit down, my dear, for so I feel privileged to call you, for the sake of my dear old friend your late father, and let us discuss matters quietly. If you have an enemy in the world, which I am loath to believe, trust me to run him or her to earth. Man, woman, or child — he, she, or it, shall cry peccavi !",mark,,
341,"I do no harm, and I feel so free."" ""But suppose you were to meet anyone?"" *' I shouldn't mind ; if it was anybody nice, perhaps they might join me in my ramble on the banks of the Serpentine. / think it would be rather "" — she was going to utter the word ""jolly,"" but as that ex- pressive slang term shocked Lady Erles- clifFe's sensitive ears, she substituted the tamer and more correct word "" pleasant."" "" Hush ! child, don't talk so ! You don't know how you may injure your prospects by such out-of-the-way doings."" ''Injure my prospects!""",mark,,
346,"*' No, no,"" he replied, "" I am not. I shall be well to-morrow : my head aches with the blow, that is all. Bring me plenty of water to keep these bandages wet. — Put a man to guard the door. — Let me hear every thing that happens during the night ; and, now leave me."" It was about two o'clock in the morning, when Caillet, who had at length fallen asleep, was roused by some one bringing him in letters.",mark,,
351,"Only give her to me, and every hour of my life shall be devoted to her — shall be passed in securing her happiness."" "" I am sure of it,"" said Mrs. Gaveston, in a kind, soothing voice, '' and to no one would I more confidently entrust my child's happiness. And after all, you look,"" — she smiled as she looked at the tower of strength before her — "" you look as if you would be a hale, strong man forty years hence 1 And besides, dear friend, my days are few now, and Aunt Mary is old ; and if for your sake, I wish your ages were nearer, for hers I can be only too grate- ful to think I leave her in such hands."" ""God bless you for your goodness,"" he fervently said, "" you may trust me."" "" I feel it. But will you promise me one thing, that if ever she wishes to come to the true faith, that you will not hinder her ? I have never spoken about it to her — I pro- mised not — but, oh ! I have so prayed for her ! I doy I shall so pray for her — pray that we may meet in Heaven, and oh !",mark,,
356,"If I had my own way, you may be sure I should spend a good portion of my time tliere ; but people can't always do as they like in this world."" And Miss Foulkes sighed as she stroked the folds of the soft blue dress fondly. Very pretty and piquant looked this saucy little person to-day ; great care had been taken with the rich dark hair by the faithful, much-tasked maid, she had twisted and turned and rolled and plaited, till her fingers ached again. Miss Foulkes didn't wear her hair as most young ladies wear it now-a-days, in a great big fuzzy wisp at the back of their heads, that heavy dark hair of hers hadn't the least tendency towards curliness, or fuzziness, but swept off from her white forehead smooth and glossy, winding itself into such wonderful coils and twists at the back of her head, that it looked like a great big long boa-constrictor which had gone to sleep there coiled up, and had subsequently been pinned to the small head by those two big jet pins at each side. Fanny's strongest weapon, I think, was her hair. Such countless, mysterious ways as it had of twisting and arranging itself M 2 every day ! how very soft and glossy it was too, and how white it made the deli- cate throat look, as it nestled close on it, dark and thick; I don't think Miss Foulkes would have been anything with- out her hair ; her strength lay in it, like Samson, and she knew it too.",mark,,
361,"But is he not sleeping?"" "" Yes, but his spirit is here. I am still with him, although he does not speak. You will excuse me, I know, Vernon. Ring for coffee, or anything you wish for, and my room is quite at your service, for I shall not leave my father to-night. I will send to you, if any change takes place."" "" I will go up with you. Now do not hesi- tate.",mark,,
366,"I soon found that she instantly employed the surest means of obtaining that object by spreading the report of a positive engage- ment between Emily and myself. Her maid was first made the depositary of the se- cret, and thence it proceeded upwards and downwards in all directions, so that ere din- ner-time, it had reached my own servant, who, while I was dressing, congratulated me on the occasion in all due form. From him also I first learned positively who was the rival aspirant to the hand of my sweet Emily ; for my mother (I suppose from fears of my vio- lence) had refused to tell me ; but my servant had been recommended to me by no other than my worthy acquaintance, Alfred Wild, and now with tender malevolence, while he offered me his felicitations upon my approach- ing happiness, he took an opportunity of com- miserating the disappointment of his late master and patron. The day ended happily, Albert Wild did tiot make his appearance, Emily's mind was calm, and mine was full of hope and delight. The idea of visiting the continent was not at all disagreeable to me. I would certainly rather have taken Emily with me, but I had a great deal of the boy still in my nature, and many and marvellous were the pleasures which I anticipated from my short tour. Whi- ther I was to direct my steps, became the first question, but that was soon decided.",mark,,
371,"She has not suffered ? She is happy still ? "" '' She is well ^'—coldly. How should it be explained to this man that his child had a heart easily moved to gratitude and pity ; that she had suffered patiently and greatly in watching and sooth- ing Anthony Blake's decline ? That which might have been feared for her, the too early awakening of love through gratitude and pity, had not befallen her, through Tony's ow^n self-renunciation and jealous care for his child-love's peace. With a long-drawn sigh of relief, Helen Staroska had seen the cloud that for a moment had threatened to overshadow the young girl's springtide pass harmlessly over her. "" They say Lesbia frets grievously,"" Bar- rington said musingly. """,mark,,
376,"He was asking himself, with a half laugh at his own simplicity, why this must be — whether it might not be worth while to make the surroundings of the workshops less hideous — when his eye was caught by one of the labourers passing between him and the grimy wall. Xo skilled workman this, like those in the blackened moleskins, which, at the beginning of the week, were white, with their free step and independent aspect. The man was one of the drudges of the establishment, a skilless hanger-on, doing jobs as they were wanted, carrying the great, rusty bars of iron, bringing coals, doing all the rough work of the place. He was dressed in the indescrib- able clothes of the British labourer, who has no sort of habitual costume, not even a blouse under which to hide his rags, with a red cotton hand- kerchief knotted about his neck. Perhaps it was this bit of cotton that caught John's eyes : and then it seemed to him that the face above it was not unknown to him. It was a sufficiently vil- lainous face ; the features looked as if they had been roughly shaped out of some coarse paste, the small eyes, looking out from under shaggy brows, with a sidelong glance, the slouching gait, the unshaven chin, made up a very un- attractive picture altogether. s 2 ' Where can I have seen him V John said to himself.",mark,,
381,"I fear, my poor child, that you do not under- stand the rules and principles which govern the world in such matters ! "" said the Abbess, with a heavy sigh. ""At all events, my mother, there ^^^ill be the great, great happiness for Giulio and for you ! And for the rest, Giulio ^vill know what is best to be done. At all events, he will come here ! I shall see him ! I am sm'e that all will then be well !"" """,mark,,
386,"“Yes! Tom Jarndyce—you'll excuse me, being related; but he was never known about court by any other name, and was as well known there, as—she is now;” nodding slightly at his lodger; “Tom Jarndyce was often in here. He got into a restless habit of strolling about when the cause was on, or expected, talking to the little shopkeepers, and telling 'em to keep out of Chancery, whatever they did. ‘For,’ says he, ‘it's being ground to bits in a slow mill; it's being roasted at a slow fire; it's being stung to death by single bees; it's being drowned by drops; it's going mad by grains.’ He was as near making away with himself, just where the young lady stands, as near could be.” We listened with horror. “He come in at the door,” said the old man, slowly pointing an imaginary track along the shop, “on the day he did it—the whole neighbourhood had said for months before, that he would do it, of a certainty, sooner or later—he come in at the door that day, and walked along there, and sat himself on a bench that stood there, and asked me (you'll judge I was a mortal sight younger then) to fetch him a pint of wine.",mark,,
391,"Out-of-Tovn Places. Mitford {Mary Russell) Our Village. With 12 full-pape and 157 smaller Cuts. Cr. 4to, cloth, gilt edges, 2IJ"". ; cheaper binding, \os. bd. Mollett {/. JV.) Illustrated Dictionary of Words used in Art and Archceology.",mark,,
396,"By Two Idle Apprentices. Crown 8vo. ""js. 6d. ""Written with spirit and knowledge, and give some curious glimp.ses into what the majority will regard as strange and unknown territories.""— Daily News. ""This is one of the best books to while away an hour and cause a generous laugh that we have come across for a long t\Tae.""—j^o/in Bull. Brooke (Rev.",mark,,
401,"The children were very familiar with every syllable of this ballad, which had been often fully explained to them. They danced in a circle with the burden of every verse, shouting out the chorus with good articulation and joyous energy; and at the end of the second stanza, where the traveller has his nose pinched by his grandmother's ghost, every nose in the party was nipped by a pair of little fingers. Mr. Chainmail, who was not prepared for the process, came in for a very energetic tweak, from a chubby girl that sprang suddenly on his knees for the purpose, and made the roof ring with her laughter. So passed the time till evening, when Mr. Chainmail moved to depart. But it turned out on inquiry, that he was some miles from his inn, that the way was intricate, and that he must not make any difficulty about accepting the farmer's hospitality till morning. The evening set in with rain: the fire was found agreeable; they drew around it. The young lady made tea; and afterwards, from time to time, at Mr. Chainmail's special request, delighted his ear with passages of ancient music.",mark,,
406,"-A TREATISE ON WOOD ENGRAVING, Historical and Practical, By William Andrew Chatto and John Jackson. With an Additional Chapt er by Henry G. Bohn, and 450 line lUusts. Large 4to,hf.-bd., 2Ss, CHAUCER~FOR CHILDREN : A Golden Key. By Mrs. H. R. Haweis. With 8 Coloured Plates and 30 Woodcuts. Small 4to, cloth extra, 6s. CHAUCER FOR SCHOOLS.",mark,,
411,"Used in hideous fascination upon the whole scene that was passing before me. "" Wretch !"" exclaimed Mr. Gower, thus ad- dressing the young nobleman, who was held powerless in the chair — bound and gagged — and quivering visibly from head to foot, — "" wretch ! you have availed yourself of the personal beauty which God has given you, — you have availed yourself of it, I say, for the vilest of purposes ! But you shall do so no more : for that beauty of your's — I will mar it ! Into the world shall you go forth as another Cain, with a brand upon your brow. Thus, it is not merely a vengeance which I wreak — but it is a safeguard which I guarantee to society. If Satan takes the shape of an angel, let the brand be placed upon the brow of the illusive form, so that the unwary may not be be- guiled ! And now let the work be done !""",mark,,
416,"The desks and the forms, which served as the seats to them, were secured from shaldng by their iron legs being firmly leaded into the stone floor, and were conse- quently fixtures. The flat surface of the desks were abundantly ornamented with initials, names, and pictorial designs done in the well- known pocket-knife style of engraving generally afffected by schoolboys. There being no taking down in the writing lessons, many of the boys claimed those parts of the desks on which they had placed their mark, a circumstance that led to some wrangling, and such whisperings as "" ni give you a peg in the ear if you don^t shift ',"" "" V\\ let you know who^s place it is f* "" ril give you a good warming when we get into the playground/^ But Mr. Ashplant hav- ing detected a couple of these ^'^ junior wrang- lers^^ kicking each other's shins under the desks, administered condign punishment to them in a style that struck terror into and silenced the rest. When all Avere seated, the teachers brought round books, copy slips, and pens to those who were in copy-books.",mark,,
421,Pandulph and his Homager 241 CHAPTER XXIX. An Interview long looked for 250 CHAPTER XXX. A Gallop to Runne-mead 262 CHAPTER XXXI. Magna Charta 268 CHAPTER XXXII. Lewis the Dauphin 279 CHAPTER XXXIII. John's end w 284 CHAPTER XXXIV. All achieved 293 CHAPTER XXXV.,mark,,
426,"Thank 'ee, Tom, I never was better, and my business with you is soon explained. Be good enough to tell us when you last saw and where you left the two young gentlemen you met on the moor this morning ? "" "" Aw ! they as wanted to fight and I widn't let 'em ; Squire Ealeigh's zun and anither ? "" "" The same, no doubt."" "" Well,"" answered the moor-man cautiously, "" the last time I zeed 'em they was mak'ing their way ovver Langham Marsh-clitter, wi' their nozes aiming vor Benjay",mark,,
431,"God for his preservation, Dudley turned towards the spot from whence the cheer he had heard proceeded, and beheld a party of five or six men advancing from the scrub. One was on foot, but all the rest were mounted; and Dudley, to his surprise, re- cognised in the pedestrian the vigorous form of Xorries, whom he had thought full twenty miles away. The young wanderer advanced at once from under the mimosas to meet his deliverers ; but as he came nearer, the aspect of one of the horsemen seemed fami- liar to his sight. Associations sweet and happy rose up, which he had not suffered to visit him for years. Hopes undefined and vague, but bright and glorious, swam before his eyes, and with a beating heart and giddy brain, Dudley stopped, unable to take another step in advance. CHAPTER IV. At the same moment that Dudley, with his whole thoughts and feelings cast into confu- sion, halted suddenly in his advance, the horseman who was coming forward on the right hand of Norries drew his rein tight, and sprang to the ground.",mark,,
436,"The Ostiacs, powdered with red earth, and the Calmuc beauties, tricked out in all the finery of sheep-skin, appeared highly ridiculous : but I soon perceived that the ridicule lay not in them, but in me ; that I falsely condemned others of absurdity, because they happened to differ from a standard originally founded in prejudice or partiality . I find no pleasure, therefore, in taxing the English with departing from nature in their external appear- ance, which is all I yet know of their character; it in possible they only endeavour to improve her simple plan, since every extravagance in dress proceeds from a desire of becoming more beautiful than nature made B ; and this is so harmless a vanity, that I not only pardon but approve it. A desire of being more excel- lent than others is tvhat actually makes us so; and as thousands find a livelihood in society by such appetites, none but the ignorant inveigh against them. You are not insensible, most reverend Fitm lloara, what numberless trades, even among the Chinese, sub- set by the harmless pride of each other. Your nose- norers, feet-swatrters, teeth-stainers, and eye-brow"" pltickers, would all want bread, should their neigh- bours want vanity. These vanities, however, employ much fewer hands in China than in England; and a fine gentleman or a fine lady here, dressed up to the fashion, seems scarcely to have a single limb that does not suffer some distortions from art. To make a fine gentleman several trades are require "", but chiefly a barber.",mark,,
441,"He consi- dered it as a punishment which he had deserved by the seduction of innocence; he accused himself as the murderer of his Maria; he threw himself in despair at the feet of her apparition, imploring her pity and her pardon. The figure again vanished. — If, indeed, it was a punishment inflicted by heaven on Erlach, who will not be disposed to think that it was greater than his crime? Even his best days were gloomy. At no time, and in no place, was the evident cloud of melancholy chased from his brow, though he took more pains to conceal it, since he began to be ashamed of his situation. In whatever company he was, and whatever pleasure he took in it, he always withdrew previously to the unfortunate hour. Habit made no diflference: he never could become habituated to it.",mark,,
446,"III. o hearing that the main body of his comrades were now at his heels, he raised his voice, and cried, ' Sir, do ye surrender, or no ?' ""'Surrender! surrender!' shouted the whole company of valiant cavalry, catching the only word that they heard ; and, hobbling up, they surrounded me in the greatest disorder, while they flourished their swords in the empty air, like Ossian's heroes, from the mere overflow of their valour ; and their very horses neighed and snorted, as participating in this great exploit. "" ' Haud back ! haud back ! ' roared a fat man, as he jingled and bustled his way through this disorderly army; and, after puffing a minute or two, he said, ' Let me see, let me see — yes, yes, that maun be him. What do you report of this stranger?'",mark,,
451,"Where is it — Stokesbro' ? Yerra good. Grod bless you, miss, and fareweel 1"" Hot and strong were the words which were blurted from the Squire's lips when he reached the main road and found that some- body had been there before him and locked the gate. "" This is that Sylvia's doings, confounded young hussey ! It's not a bit of use trying to lift the gate off the hinges, Jobson ; drive round by the lodge. Ugh !",mark,,
456,"6d. ON SEX IN THE WORLD TO COME, By the Rev. G. HOUGHTON, A.M. ""A peculiar subject; but a subject of great interest ; and in this volume is treated m a masterly style. The language is surpassingly good, showing the author to be a learned and thoughtful man.""— New QUARTERLY REVIEW. In 1 Vols. 10s. 6d. A HISTORY OF THE KINGS OF JUDAH, By LADY CHATTERTON. "" No Protestant family should be without this excellent work.""",mark,,
461,"On receiving this assurance, that ]Mar- guerite felt for Paul Duprat nothing more than esteem and friendship. Lord Carleon's spirits were relieved of a great part of their oppression. ' Mv dear Madame Simon,' he ventured to say, ' you have honoured me with your confidence, and claimed that I should speak frankly to you; it appeared to me, then, that your daughter was very downcast to- day.' ' You remarked it ?' ' And you too, did you not ?' ' Yes, but it does not make me at all uneasy. It is a mere young girl's caprice — a cloud that comes and goes without her knowing why or wherefore. Yesterday, for example, before your arrival, she was as gay as a bird ; and I remember that, all the way from church, she sang like a lark a kind of song, of which she has comjDOsecl both the words and the music' ' I heard her singing it,' murmured Lord Carleon. '",mark,,
466,"and forthwith he began to accuse himself with astonishing volubility and violence, of a long series of crimes and misdemeanours, which, he insisted upon it, and with some ground of reason, were, if not the only, at least, the principal causes of Mademoiselle de Romainville's altered looks. How long he might have continued in the same strain, there is no saying, had not Gertrude herself exclaimed : "" Oh Henry ! — Mr. Arundel, I mean — do not talk of yourself in this manner; you are not tell- ing the truth when you accuse yourself thus. I saw sometimes you were annoyed, but I know you were as unhappy as myself; and it is so diffi- cult to command one's looks. But for jealousy — oh ! no, that I will never believe — it is not pos- sible you could have been jealous of me, or you must think very badly, very lightly of me."" "" What a horrible idea !"" said her lover ; ''•",mark,,
471,"I am even afraid to speak to you, for my greatest enemy has designs upon you. Forgive, I pray you, this boldness in writing ; but I am young, in- experienced, and have no friend to guide or counsel me.'""* After perusing this second billet, Rosenlein fixed his penetrating eyes on the boy. ""• These notes are both without signature, therefore go and tell your lady-mistress I will not seek to penetrate her mystery. — Oh ! what a world of iniquity is this,"" thought Rosenlein, as the door closed upon the beautiful boy, and he sank back on his couch ; "" what am I to believe ?",mark,,
476,"He and She ; or, A Poet's Portfolio. Fcap. Svo, in parch- ment, 3s. 6d. STRICKLAND. Lives of the Queens of Scotland, and English Princesses connected with the Regal Succession of Great Britain. By Agnes Strickland. With Portraits and Historical Vignettes.",mark,,
481,"What first put her into this mood o' mind, I wonder!’ ‘I can't tell. Not I certainly. It is all voluntary on her part. Now that's all I have to say.’ Phillotson spoke stiffly. ‘You've turned round, Mrs. Edlin.",mark,,
486,"— He turned towards Celina, who was filently bleffing him for the tender regard he evinced for Henry. "" To fly,"" faid the general, "" from the face of an enemy is a (lain which no foldier can wipe off, but to weep for a friend cannot reflect difgraCe on the character of the great- eft hero — and that Captain Guraville is one G f my deareft friends, thefe tears witnefs."" After a filence of fome minutes, he again refumecL "" I hope Madam, you will not deem it impertinent curiofity, if I afk whether your name be Guraville ? for I have heard my friend fpeak of a -lifter he had on the Conti- nent."" "" No, Sir, my name is Morley, but I have the pleafure of being intimately ac- quainted with Mifs Guraville.? "" You are the young lady, I prefume, who was with poor Mrs.",mark,,
491,"There is a good opening here for enterprising men ; though success fluctuates, yet loss is seldom met. I recommend you to join the merchants on the coast, rather than go to a missionary station further inland.' Athelstan clinched his pipe firmly between his teeth. Surprise seemed to take away his breath, as his mind took in the sense of this letter. His wrath was growing to a fierce heat, that made his face glow from its intensity. He continued reading in silence. 1 Come alone first, and if you find the climate bearable, and you think conditions suitable, then let your wife and children join you.",mark,,
496,"They have none of them, as yet, so re- fined and intellectual a countenance. He is a true gentleman, physically and morally. But what beautiful children they are, or rather will be. May, when they become more rosy. How thoroughly they enjoy having other children to play with them.'' Lady Gordon had had her own way in one thing. She was in Maxwell's lodgings'; but when she told part of her sad story to Mr.",mark,,
501,"Will you expound to me what has so disturbed the humour of our friends? for by my word you seem the only one who can hold the rein of your passion."" "" It means, my lord,"" answered the tailor, humbly, ""that there is some vil- lainous complot astir, and that we, the friends and servants of his Majesty, are the objects of its malice."" "" That is nothing new, for we have been the object of villainous designs ever since our master showed that lie valued our service."" "" True, and therefore we have the more cause for alarm as to what may be the upshot of the present conspiracy, when we are surrounded by all our enemies and their forces,"" proceeded Hommel, deliber- ately enough, notwithstanding the fear under which he laboured. "" We have thrust our heads into the tiger's jaws, and he means to snap them off, if he can,"" muttered the smith. "" We should never have been here in the midst of their desperadoes, who will make no more ado of cutting us into mincemeat than they would of emptying a quaich of ale,"" grumbled Torphichen.",mark,,
506,"You speak like a book, Mrs. Mole,' said the Major. ' Thank you, sir,' she said, curtseying. ' Mole had the gift of letter-writing. Well — where was I ?' and she whispered the last sentence to herself to help her to the next. * Oh, well,' she continued aloud, ' it's this next : '' The Major, he said, ' There's only one man as I knows on as can silence that bastion, sir, and he doesn't belong to my battery, which his aim is marvellous, and which his name is Mole !' ' "" ' Mole !' says the commander-in-chief.",mark,,
