passage.number,passage,annotator
11,"His, firmness excited at once her anger and her admiration. She could not believe that she had heard his words rightly. She sat down to recall mi- nutely every circumstance of what had just passed, every word, every look; she she finished, by persuading herself, thafc his calmness was affected, that the best method she could possibly take, was by a show of resistance to bully him out of his indifference. She little knew what she hazarded : when the danger of losing her husbands love was imaginary, and solely of her own creating, it affected her in the most violent manner ; but now that the peril Was real and immi- nent, she was insensible to its existence. A celebrated traveller in the Alps, advises people to imagine themselves walking amidst precipices, when they are safe upon smooth ground ; .and he assures them that by this practice, they may inure themselves so to the idea of danger, as to prevent all sense of it in the most perilous situations. The four and twenty hours passed: and at the appointed moment, our he* rome and her husband met",mark
12,"“No,” rejoined Bob, “I never did.” “No,” rejoined Sam, triumphantly. “Nor never vill; and there's another thing that no man never see, and that's a dead donkey—no man never see a dead donkey, 'cept the genI'm'n in the black silk smalls as know'd the young 'ooman as kept a goat; and that wos a French donkey, so wery likely he warn't vun o' the reg'lar breed.” “Well, what has that got to do with the postboys?” asked Bob Sawyer. “This here,” replied Sam. “Vithout goin' so far as to as-sert, as some wery sensible people do, that postboys and donkeys is both immortal, wot I say is this; that venever they feels theirselves gettin stiff and past their work, they just rides off together, vun postboy to a pair, in the usual vay; wot becomes on 'em nobody knows, but it's wery probable as they starts avay to take their pleasure in some other vorld, for there ain't a man alive as ever see either a donkey or a postboy a takin' his pleasure in this!” Expatiating upon this learned and remarkable theory, and citing many curious statistical and other facts in its support, Sam Weller beguiled the time until they reached Dunchurch, where a dry post-boy and fresh horses were procured; the next stage was Daventry, and the next Towcester; and at the end of each stage it rained harder than it had done at the beginning.",alex
13,"When you've picked up a little more I'll come and act as amanuensis and that kind of thing."" Paul suddenly opened his eyes. "" I've a message to send,"" said he ; ""it isn't at all urgent, but I should like to give it while I remember."" "" All right. What is it ?"" "" When shall you call at Miss Kemball's ?"" "" To-morrow, probably.",jessica
14,"La vieille nourrice de ma mère me répé- tait vingt fois le jour que tout ce que j'entreprendrais ne manquerait pas de réussir , parce que j'étais Sala- din-l'Heureux. Je devins présomptueux, téméraire, et ces pronostics flatteurs auraient eu sans doute une conséquence directement opposée aux intentions de le nourrice , si vers l'âge de quinze ans environ je n'avais pas eu le loisir de réfléchir sur ma folle pré- somption, durantune longue maladie qui en fut la suite. )y II y avait alors à la Porte un ingénieur français, intelligent et habile, qui avait un emploi auprès du Sultan , dont il était aimé , au grand étonnement de beaucoup de mes compatriotes peu éclairés. Le jour de la fêle du Grand-Seigneur , le savant français fit tirer de magnifiques feux d'artifice , que je courus Toir avec toute la population de Gonstantinople. Je réussis à m'approcher de la table où se tenait le Fran- jais ; la foule se pressait autour de lui, et moi j'étais aux premiers rangs. II nous invita, dans notre in- térêt , à nous tenir plus éloignés de lui, en nous aver- tissant que nous nous exposions à être grièvement blessés par l'explosion des pièces. Je me fiais à ma bonne fortune et ne pris aucune précaution.",svenja
15,"Is it Carruthers ? "" asked Horace, after a pause. '' Dela cares for some one, I'm sure."" ""No, it is not his lordship,"" replied Lilian sadly. "" I wish she could like him, he would make her a loving husband,, and he w^orships her."" "" I have thouo^ht so for a lono- time. Well, who is it, Lilian ?",matt
16,"Lord Dorimont thanked honest Jack, and assured him that he had lived too long in the world to be done by twenty Sir Harrys, but that he should bear the hint in mind, and act accordingly. The dinner was ordered at eight, but the worthy Baronet still continued his old pur- suits, and was as punctual to his engage- ments as ever, so that it was nearly ten o'clock before he made his appearance, and called for dinner. The party consisted of six, amongst whom were two great cronies of his, desperate hard drinkers, who were engaged to ply our hero so as to make him jolly, if possible ; they acquitted them- selves very well, but Lord Dorimont was on his guard. When they thought that he seemed some- what flushed, they proposed a little chucker hazard, and a box and dice were produced. They began to play heavy stakes amongst themselves, but neither Jack Smith nor Lord Dorimont would bet any of the party, only backing their own hands. Sir Harry saw it was no use to persist, and pretending to vote private play a bore, with an assurance (it was the height of as- surance) that he could not bear to win money of his friends, he suggested going to a hell to finish the night, but neither to Hookey's nor to the Milton ; he therefore took the party to a hell in King Street, well deserving of that name, if ever there was a hell upon earth : the gang was composed of broken- down gamesters, bankrupt tradesmen, and the very dregs of society, and off-scourings of the town. The stranger party made no small swell ; seats were provided for them, and every mark of distinction was paid them.",mark
17,"The silence he enjoined was soon, how- ever/interrupted by the boy (who, with the restlessness peculiar to his age, had wandered away to a distance) exclaiming aloud, as if in the greatest agony — "" I am killed! I am killed !^^ Osmond instantly flew to his assistance, and raising him from the ground, on which he found him extended, enquired what had happened? '' Oh master, master,'* said or rather roared the boy, '^ one of my legs is surely broke, for the mule has trod upon it/' "" '' By St. Benedict, I wish,"" cried Mac- talla, who had followed close upon the steps of his master, '' that it waS your head she had got under her foot, and that she had kept it there till the day of judgment/' Osmond having satisfied himself that the leg leg was not fractured^",alex
18,"Shall it be * Gin a body ' or ' Huntingtower ' ?"" she asked meekly ; and nobody volunteering a decisive opinion, she chirruped the former coquettish little ballad, and put a stop to social intercourse for exactly four minutes and a half. After that evei^ing Mr. Stuart knew who his rival was, and with what kind of influence he had to contend. An author, a musical man, a genius ! Well, he had very few weapons with which to fight such an antagonist, he who was neither musical, nor literary, nor gifted with any of the graces which recommend a lover to a sentimental girl. But he was a man, and he meant to win her. He admired her for her frank young prettiness, so unsophisticated and girlish, and for that perfect freshness and truth- fulness of mind which made all her thoughts trans- parent. He was too much a man of the world to ignore the fact that Miss Kansome of Mapledown would be a very good match for him, or that such a marriage would strengthen his position in his aunt's esteem.",jessica
19,"Do not make yourself look so ridiculous. Hark ! There is game afoot,"" she added, listening. '' Do you not hear the wild yells of the natives : "" **True. They have found a boar,"" he cried excitedly, and longing to be away to the front. "" Come on to yonder rising ground, and we shall see the chase, I think, from there.",svenja
20,"A VERY HANDSOME VOLUME- Large 410, cloth extra, 31J. 6d. White Mountains (The Heart of the) : Their Legend and Scenery. By Samuel Adams Drake. With nearly 100 Illustrations by W. Hamilton Gibson, Author of "" Pastoral Days."" Crown 8vo, cloth limp, with Illustrations, 2j.",matt
21,"Httle real strength his fatigue and pain had left. He leant against the wall, faint, panting, without the power to move. A light near him shone into his eyes ; he was not able even to raise his head to discover what it was. And yet they were near . . . they would be coming ; they would catch him at last. With a great effort he raised his head towards the light. It was a lantern hung over a green door in the wall, no doubt intended kindly to relieve the darkness of the lane.",mark
22,"About a month since, my wife advanced me one step nearer to the Court for the Kelief of Insolvent Debtors, by presenting me with another child. On five previous occasions, her name had appeared in the List of British Mothers which adorns the daily Supplement of the Times newspaper. At each of these trying periods (I speak entirely of myself when I use the word "" trying "") she was attended by the same Monthly Nurse. On this last, and sixth, occasion, we were not so fortunate as to secure the services of our regular functionary. She was already engaged ; and a new Nurse, with excellent recommendations, was, tlierefore, employed in her stead. When I first heard of her, and was told that her name was IMrs. Bidlwinkle, I laughed.",alex
23,"is. Wintering Places of the South. Switzerland, Savoy, and North Italy, is. 6d. General Con- tinental Guide. $s.",jessica
24,"They are strangers ; naturally they look about them. We must feign not to see them."" "" Oh, here they come to us."" "" Let them come ; I'll settle them properly. Call, call out the roasted corn ; perhaps they will buy some."" "" Roasted corn, roasted corn."" "" Silence, they come."" "" I'll make them pay two sous for each blade of corn.",svenja
25,"And now there came to them from Mr. Emilius the prettiest little gold salver that ever was seen. “I send Messrs. Clerico's docket,” wrote Mr. Emilius, “as Miss Roanoke may like to know the quality of the metal.” “Ah,” said Mrs. Carbuncle inspecting the little dish, and putting two and two together; “he's got it cheap, no doubt,— at the place where they commissioned him to buy the plate and candlesticks for the church; but at £3 16s. 3d. the gold is worth nearly twenty pounds.” Mr.",matt
26,"She vv'as an orphan ; and even in childhood blessed, or cursed, as fortune should decide, with that irresistible beauty which so often dazzles judgment, and confounds even wisdom. Lady Montague had been the saving angel of her mother ; who, though educated in the highest and happiest hopes, finally reverted to this dear, and once humble friend, as the sole j^rotector of her child ; nor was the appeal fruitless even when the heart that made it ceased to beat ; since to cherish the little Clara as a wife for one of her own sons, was among the few romantic projects which Lady Montague ever formed. The over- whelming succession of calamities that swept both mother and children to one common grave, left to Sir Arthur the painfid task of restoring Miss Rochford to those who were called her natural friends. lUit he had soon too much reason to regret having given up his lovely charge. Under the roof of her aunt, Lady Selina, the sweet child "" learned to sigh ere she could know to sin ;"" and was finally, by a concurrence of events, returned to the guard- ianship of the good baronet, with an earnest request that he would place her, for a small stipend, under some respectable protection in the country, llnppy was the day of her emancii)ation to the little Clara, who, in the bosom of nature and solitude, had early acquired those simple tastes and warm aftections which, with a moderate degree of cultivation, give mind its best character, and life its truest zest. In receiving her again to his protection, Sir Arthur was not, however, quite satisfied that he acted wisely. With the indecision, therefore, common to bounded minds, he attempted to find a medium where judgment would have told him that there could be none : and confining his pre- cautions to the simple one of removinor her from his own roof, he encouraged the hope that time and chance, if not the early return of Mr. Cavendish, would wholly separate her from Montague.",mark
27,"ISmo, pp. 128, Is. First Steps in Geography. 105th Thousand. 18mo, pp. 56. Sewed, 4d. ; cloth, 6d. Elements of Physiography and Physical Geography. With Express Reference to the Instructions issued by the Science and Art Depart- ment, 30th Thousand, Revised.",alex
28,"Park : he had taken care to have it prettily furnished ; and the sunny aspect and enhvening green expanse, on which the eye could dwell from the windows, rendered it a cheerful abode, and one in which Violet would have lived most contentedl}' if — but there are always ifs. D'Arcy had really taken pains to secure every comfort for her. She had a carriage at her command, and his servants were taught to respect her as their undisputed mistress. He endeavoured to make her preside at his table, and wished at once to introduce her to all his male friends — but this she refused. Abroad, she obliged him willingly in this particular, but in England, where she had once been so well known, Violet shrunk from such an ex- posure — for such she deemed it.",jessica
29,"It was early on the following morning when the immense multitude of the insurgents surrounded the castle of Ermenonville; and, though the place was strong and well defended, yet before night terrible progress had been made towards its destruction. The walls were undermined in various places, and two or three more hours of light would have seen many a yawning breach in the defences. Just about the time that the sun was setthig, old Thibalt ]a Rue was seen speaking eagerly with four of the peasants, who had been carry- ing forward the attack on the side where he himself commanded. "" But I tell you,"" he said, in answer to some objection which one of them had seemed to make — "" but I tell you, that as soon as he has got possession of this girl, he will have al] that he has ever desired, and then he will marry her, get a promise of pardon, and distinction for himself, quit us, and leave us to our fate ; nay perhaps be the first to head the troops against us. No, no, we must enable her to make her escape, or else get hold of her ourselves, which would be better still ; for then we could rule him as we liked."" "" But how can we do it, how can we do it ?",svenja
30,"There was something incongruous and inconceivable in the idea of the child of Cornelia a woman, married to his cousin. He feared to see in her an image of the being who had subdued his heart of hearts, and laid prostrate his whole soul; he trembled to catch the sound of her voice, lest it might echo tones which could disturb to their depths his inmost thoughts. Ethel was so unlike her mother, that by degrees he became reassured; her eyes, her hair, her stature, and tall slender shape, were the reverse of Lady Lodore; so that in a little while he ventured to raise his eyes to her face, and to listen to her, without being preoccupied by a painful sensation, which, in its violence, resembled terror. It is true that by degrees this dissimilarity to her mother became less; she had gestures, smiles, and tones, that were all Lady Lodore, and which, when discerned, struck his heart with a pang, stealing away his voice, and causing him to stand suspended in the act he was about, like one acted upon by magic. While this mute and curious examination was going on in the minds of Ethel and her visitant, the conversation had not tarried. Edward had never been so far south, and the wonders of Naples were as new to him as to Ethel. Saville was eager to show them, and proposed going that very day to Pompeii.",matt
31,"Sir John had not been in Paris for thirty years, and consequently found it had altered. The French are not a nation to stand still, or remain stationary either in science, art, manufactures, or architecture; on the con- trary, they are what the Americans call ""go-a-head"" — that is to say, they do not hold the "" what-was-good-enough-for-my- grandmother-is-good-enough-for-me'' theory, which I hold to be a most pernicious and preposterous one. The day after his arrival in Paris, Sir John had left cards at the English Embassy. He knew Lord Mountchessington in former days, and felt no scruple in claiming his ac- quaintance. His maxim was, never to suifer an ac- quaintance who might be useful to relapse into a stranger, or a friend to fall into the position of an acquaintance. "" You never know when you may want them,"" he used to say; ''and some people are so con- foundedly high and mighty, that they pretend they don't recognise you just at the moment you do want them."" Before he succeeded to the baronetcy he had plenty of experience of this sort; men who had made their way did not see any particular use in knowing John Fenacre; so, accord- ingly, they did not know him.",mark
32,"Let me go, lest I pain you more. You cannot blind me by your flattery."" "" Blind you ! — would that I could couch your blindness, then would you see there is no feigning in my love. Nay go not yet — linger a'A hile ! you have not heard the half that I could urge."" "" It would be all in vain/' said Rosalind coldly, hurt at his pertinacity. '^ I cannot — will not grant you more than pity.",alex
33,"""And,"" continued Helen, ""before the Killi- grews were loyal to their rightful king* and sacrificed their fortunes for the Stuart cause."" '' Well, anyhow/^ said Evered, "" tliat is a long time ago/^ Tlie |Darty liad now readied tlie old well. "" It is flowing still/^ said Helen Trevernen ; and down tlie moss-covered steps they descended to drink from the very source of its superstitious waters. Shall I drink V said Power. """,jessica
34,"It seemed as if the water could not have come in at a better time than in the evening; when the pit was cleared of all the workers who had thronged it during the day. By-and-by a whisper passed round that the master and his son had been seen to go down an hour before, and that no one had observed them return. Mr. Franklyn was but little known and less liked among his work-people, but Rolla was regarded with a sort. of affectionate intimacy by everyone. The tidings of his danger spread with the curious suddenness with which ill news does fly out, as if it tingled from heart to heart quicker than words could convey it. The whole country seemed struck and dismayed at once, and no one exactly knew how the tidings first reached him. An hour after the water had broken into the pit, half the miners in the district were assembled on the Red Hill, and Arthur Yonge was making the most of the last half-hour of twilight, by setting them to work, some to draw the water away by letting down buckets into the pit, while others were endeavouring to repair the broken pumps so as to make them available for drawing off the water. Less than an hour after, the porters at the Little Combe Valley Station were going about their work with grave faces, and yet with an air of bustle and excitement that attracted the attention of the only passengers who got out at Combe from the late London train, though one of them was so great an invalid, as to make his descent from the carriage and his passage down the platform a matter of some con- cern to his companion.",svenja
35,"Nogo shot uncommonly well, so that the grey-hen hadn't a chance."" "" It was my first appearance,"" I modestly suggested, "" and I could not be expected to be steady froQi riot."" "" Never mind,"" said Beeswing, alluding to an old story of poor Goosey, when ' a gent ' rode on to one of his hounds and killed him ; "" it's a poor concern that can't afford one a- day. Put the wdiisky-flask into the spring to cool. Sandy, get me a game-bag to sit upon. Now then, caterer Cob, what have you pro- vided for luncheon ?""",matt
36,"Then I'll take en back with me,"" said Mr. Brown; ^^and when danger threatens, he shall have the same quarters he had to- day."" The tears rolled down Edith's cheeks as he said thisj but she was silent. She then tried to dry her moistened countenance, that she might receive Eichard with an appearance of composure, and she succeeded in doing so ; but when he arrived, in spite of her efforts, another outburst followed. The recollection of his danger overpowered her. He caught her in his arms, and, greatly moved by the agitation of his wife, he held her to his breast. Not a word was uttered. The grief was too pro- found for interruption.",mark
37,"Will you turn to August 4 ? ' The clerk turned over the leaves of the register. 1 Had you an English lady and gentleman, father and daughter, arrive on that day ? ' 4 1 had. Mr. and Miss White. The man was clean shaven, about forty-five years old.' ' This is the portrait of his daughter.' c",alex
38,"She spoke at hazard, with no knowledge that her question would bear to him a painful personal significance. He answered it, however, without any change of countenance, l:)ut Avith a grave solemnity that made her again look at him curiously. ' Yes,' he said, ' I do hold that opinion, under great reserve. The occasion does not come perhaps more than once in a century, nor to one man in a thousand. I should hold you inexcusable for deceiving your brother on this point.' Sara raised her eyebrows. '",jessica
39,"You are agitating me — dreadfully. I am not to be agitated. Doctor x\stley says so. I am not to be agitated.' At first I was startled : then amused : then saddened : last angered, by this unex- pected outburst. I moved a step nearer to him. He looked at me for a moment, and then dropped into the arm-chair by him to the right of the fire.",svenja
40,"The poison of asps is under their lips, sir. I've proved it.' But there certainly was a tendency on the part of some to indulge in ungenerous criticisms concerning their neighbour's doings. Indeed, the atmosphere of Peckmore's seemed to have quite an alterative effect upon many of its patrons. Robert made the acquaintance of some, to all appearances, delightful people outside, who developed the most unexpected capabilities for maliciousness when once fairly in- stalled within. The disease took a dangerous form ; for whilst ignoring their own frailties, the patients im- puted the most selfish, discreditable motives to others. This certainly was a most singular phenomenon, and, not without alarm, did Robert contemplate how easily one could fall under the mysterious thraldom.",matt
41,"I knew no language strong enough to express my reprobation of her conduct ; and, yet, had I honestly looked into my own heart, and examined my own conduct, I should, perhaps, have found myself much the worse of the two. But this was what I never thought of. It required deeper humiliations and greater sufferings to awaken in me a real desire for amendment of life. The pangs I now felt were merely those of wounded self-love, ^s clearly appeared from this : that instead of pausing in my career^ I only diverted my passions into a new channel, and went on quite as recklessly as before. With all Ann's art, she failed to conceal from me, the fact, that in motives and conduct she differed very little from her mistress. Over parts of her narrative there hung a deep mystery ; yet, inadvertantly, and obviously against her will, she made me sensible that Doctor Crick had played a more important part than I imagined in the Leigh family.",mark
42,"I_ 8u' a""'i-.ough this had been done quickly, it consume* time, and the officers eonsequently gai-'Ml upon thew considerably. ' The field was a ploughed one. !_"" Everything^ seems against us,"" said Dick. ""Hera, this field, for instance. We shall have to make our war lound the edge of it, along the beaten path.",alex
43,"Tripe were still in their Cupid and Psyche attitude, who should drive by on her way to pay a visit in ' PAllee des Veuves,' but Lady Bubble ! The check was instantly pulled. — Alcibiade in a moment was at the carriage door, and the next, Lady Bubble and her laro^e green fan were moving slowly and with great dignity towards the unconscious pair. Sir Romulus having as- certained to his perfect satisfaction, that he had incurred no breakage in the fall, was beginning, with great benevolence to think of the safety of his companion, which he evinced by the follow- ing question — '' Well, my dear, and how do you feel ?"" "" As every wife must, sir, at so scandalous and immoral a scene !"" exclaimed Lady Bubble, advancing with the aid of a tragedy queen, flourishing her closed fan, as the ghost does his baton in Hamlet ; and then suddenly placing it as a barrier between the hay-coloured mous- tache of Miss Tripe, and the "" celestial rosy red"" of Sir Romulus's ample and glowing cheeks ; which, from his recent unwonted ex- ertions, now blazed and shone, like the jewel of the Philippine Isles, which Camilla gave Gil Bias. •' My dear, my dear,"" said the baronet, with his usual presence of mind, "" you have no idea of the danger we have been in ; you should have seen us just after our fall."" "" I have, sir,"" replied Lady Bubble, with a look containing the whole of the third chapter of Genesis. """,jessica
44,"Good Heavens, Agatha, you are enough to provoke a saint ! here you are, engaged to one man, and under his very roof you amuse yourself reading and crying over the love- letters of another. Suppose, by any acci- dent, by any treachery, you were betrayed, and that that correspondence, or any part of it, fell into Lord Amesbury's hands. Such things have happened a hundred times to persons far more cautious and less reckless than you. Let me entreat you, since my authority avails nothing, to burn these letters at once."" "" I have said before that I shall do as I think fit with them. If it is any comfort to you to know it, I have to-day — and to-day only — finally renounced all hope of ever being reunited to Robert Lane ; finally re- signed myself entirely and without reserve to the idea of marrying Lord Amesbury.",svenja
45,"Toll's toll, I know that, and the miller has his dues as well as the farmer ; Ijut there's such a thing as paying through the nose, and that ril not do for the best grinding, by Saint-Corintin, will not I ! "" Poor Maitre Rannau. This was a heavy accusation, and almost took away his power of speech. Justify himself he did in a fashion ; promised to have his weig-hts adjusted immediately, made compensation from his own toll-bin, beg-g-ed a thousand pardons, and profoundly bowed the half-pacified farmer off tlie premises. Rut this did not conceal an ugly fact, nor clear up an awkward suspicion. In a tumult of agitation he went to seek for his much- praised man, who had not been present at the lodging ot this g-rave complaint. ""Holy Saint-Martin, what shall I do?"" he ejaculated under his breath, as he dragged his stiff leg- up the ladder which led to the grinding-room. """,matt
46,"I will I And when I say I will it is useless for thee to say ' thou wilt not ' — that thou knowest. Come, leave the fire, and bare that honest breast of thine that I may see the secret there. Come ! show' the cards."" "" I have none to show,"" he snarled, cowering still closer to the fire. Her eyes flashed for a moment, and the soiled fingers tightened round the thick stem of the glass. "" Idiot ! "" she hissed, leaning over the table till her wine-stained breath came hotly against his hair. "" Idiot ! Wilt thou leave me to find it out and take my own and thy share too .? Idiot ! Am I blind, thinkest thou, or as great a dolt as thyself that thou hug'st thyself with the belief that I do not know that thou hast found him ! """,mark
47,"Are your arms pump-handles ? What stranger would imagine — well^ well, it can't be helped now ! Tell me — did you ever hear of your great -aunt, who lives in Suffolk ? "" ""Heard of Mrs. Sandyshaft!"" exclaimed Goody, who had been standing by the door, twirling her apron wdth both hands all the time. "" I should think so indeed ! Often and often ; and of Stoney- crof t Hall, too — haven't you, my lamb ? "" Too confused to speak, I nodded; and my father went on. "" I have had a letter from your great-aunt this morning, Barbara.",alex
48,"*For,'said Occunio, * we will sup well to-night, and rejoice iit the prospect of our good fortune/ ^' Arba possessed much good bu- mour and easiness of disposition ; but bis natural abilities were by no nieans eqiial to Occumo's, nor had he had tlie advantages of reading and writing, and ofconversing with Moors of distinc- tion, which Occumo had during the five years he was private secretary to the effendi. What can you expect from an untaught, unenlightened slave, in a countr}' where learning is in such a State of infancy that the first men of the kingdom can barely write their namesj and the uttnost of their literary piirsuits are reading the prayers written by the,Talbs for their use; and now and then some are allowed to look into the G 5 koran ; koran ; therefore, the good offices I received froni Arba, proceeded from his natural kindness of hcart. He had HO idcaof duty; in him reason scarce seenied to dawn, and he often did and Said such unaccountable thjngs, that while'I pitied his darkness I could not help smiling at h\s innoccnt ignorance, for hecertainly was a child of untaught Nature, ** The next day I went to work without being much noticed, as none who did not see my face knew I was ä Christian. Another week passed, and ijo public news arrived from the » emperor, 'I fear/ said Occumo, *I shall be disappointed/ I hope not^ (I replied.)",jessica
49,"'* Well, if you must have it, you must,"" replied Mr. Jorrocks, writing down the word : "" coursin' "" *'Who acknowledges the toast? — ah. Lengthways — Captain, I think you said he is? Captain Lengthways — a werry good man to return thanks for long dogs — blow me if I knows what to say though in givin' it."" "" Oh, say it's classical, and a fine bracing amusement."" Mr. Jorrocks added the words "" fine amusement.""",svenja
50,"Crown 8vo, cloth extra, 3s. 6d. ; post 8vo, illustrated boards, 2s. Lost Rose, and other Stories. Crown Svo, cloth extra, 3s. 6d. ; post Svo, illustrated boards, 2s. Mallory's (Sir Thomas) Mort d'Arthur : The Stories of King Arthur and of the Knights of the Round Table.",matt
