passage.number,passage,annotator,annotation,notes
21,"I have been to Switzerland, but I never attempt to paint Swiss scenery. I think it is too vast, altogether too magnificent and sublime, to be adequately represented on canvas ; it is too wide to be narrowed down, with its ice-crowned mountains, gorge, stream, and glacier, to six feet of canvas ; no colouring could do justice to it, no per- spective give an idea of its vastness — it must be seen to be appreciated, or, if not seen, had better be imagined than dwarfed down and cramped like a child's toy-village. Be- sides, we have so much soft, picturesque home-scenery lying in unknown, or, at least, unfrequented regions ; when I have ex- hausted these home-subjects, perhaps I may go abroad for new."" **""When I saw you first, I had no idea jou were a real artist."" "" Did you think I was a sham ?"" "" No, but I mean I thought you painted a little to please yourself, just as I do. I did not know you made it a business, and worked for money."" "" Humph !",julia,,
22,"quently ends in disgrace and ruin* There were facts adduced by Marco tor which no .other int^pretation could be given than what he had suggested } sod the supposed nature of these, was conoborated by the ^ecks of mental ^stress under which Valombroiia labour- ed* That distress was frantic and gloomy by ' turns : it made him irascibly ami apprehensive of intended a^ont where none seen^deven implied; itgir^ehim the perturbed air of one who is incessanftly trying to ward off the disclosure of some* thing he wishes hid from those about Inm. In shprt, even the partial heart of gratitude .aMd afllbcition could not but ac* knowlj^e, that it seemed as ii*thefe were imne one transaction of his life; of which be would gladly buy the concealment^ at iihighprict. , Ippolita sought to compare Marco's ijai[btmation with the detached sentences she l^ad overheard in the banqueting'^ bcp^se }",julia,,
23,"He that would form a lively idea of the regions of the damned, needed only to witness for six hours a scene to which I was confined for many months. Not for one hour could I withdraw myself from this complexity of horrors, or take refuge in the calmness of meditation. Air, exercise, series, contrast, those grand enliveners of the human frame, I was for ever debarred, by the inexorable tyranny under which I was fallen. Nor did I find the solitude of my nightly dungeon less insupportable. Its only furniture was the straw that served me for my repose. It was narrow, damp and unwholesome. The slumbers of a mind, wearied like mine with the most detestable uniformity, to whom neither amusement nor occupation ever offered themselves to beguile the painful hours, were short, disturbed and unrefreshing.",julia,,
24,"A General Description of the Heavens. Translated by J. EllArd Gorb, F.R.A.S. With Three Plates and 28? Illustrations. Medium Svo, cloth, its. Urania: A Romance. With 87 Illustrations.",julia,,
25,"Thus, too, his tongue would protrude and lick the dust. He endured, in a word, those treble agonies which the highly-wrought and imaginative inflict upon themselves. The hours passed, and still no one came near him; he called, and the guard appeared at the door, but only to see what was the matter, and finding his prisoner safe, at once resumed his walk to and fro. The soldier did not, for his own sake, dare to enter into conversation with a prisoner under arrest for such an offence; he might be involved, or suspected. Had it been merely theft or any ordinary crime, he would have talked freely enough, and sympathised with his prisoner. As time went on, Felix grew thirsty, but his request for water was disregarded, and there he remained till four in the afternoon. They then marched him out; he begged to be allowed to speak, but the soldiery did not reply, simply hurrying him forward.",julia,,
26,"You will make an exception in my favour?"" "" Ne!"" answered Caillet, sternly. "" Do not suppose, Thibalt, that I am attempting to cajole you ; I know you too well for that. You are not apt to be cheated ; and, to say truth, are not worth the trouble of cheating. Your qualities are different from those of Morne, and "" "" You desire to use both for your own pur- poses,"" interrupted Thibalt. ""And if I do, where is the harm?"" de- manded Caillet. *^",julia,,
27,"Soldiers, tighten the rope,"" shouted Briggs, without vouchsafing the slightest attention to her remonstrance, and Philipson was about to yield, as many a brave man had done before him, to the force of circumstances, when Mrs. Kezia Briggs, coolly advancing to the spot, deliberately severed the cord by which Bethuliel and Stunner were at- tempting to draw him to the gibbet. "" In the name of everything that is infernal, what do you mean by that, woman?"" vocife- rated Briggs. ""To save you from the perpetration of a deadly sin,"" she replied. At that moment Althea Woodville, who had just landed below the garden, rushed forward, and, throwing herself at the feet of her guardian, begged the life of Philipson with all the eloquence of tears and passionate entreaties. CHAPTEE XI. "" By heavens, Althea, death is less bitter to me than to see you thus,"" cried Philipson.",julia,,
28,"-The world is wide. Lisle Bowles. *' But have they not some sad dry times at the Cape, and don't the Caflfres sometimes steal their cattle ? "" said Laleham to his wife, with a seriousness which meant more than the mere in- dulgence of gossip, and which was of kin to a certain absence of mind that he had betrayed during some parts of his wife's quick and earnest story-telling ; — "" Have they not,"" he repeated, ""some sad dry times at the Cape, when the grass is burnt red upon the ground, and the wheat dried in the blade ; as well as other trou- bles and misfortunes ? "" "" Oh, those things are only now and then, John,"" answered Margaret rapidly ; "" and there will be troubles every where, as Martha says ; but she says, too, that they have nothing to com- plain of, taking one year with another.""",julia,,
29,"the best part of the property he had visibly about him, and promised him without end^ at a future day. Nor did' this man know the consequence of tiie person, who was wkh him, M'Ginnis. wearing the garb of a. private man. When the other four men departed, they promised to return with a proper Qonvey** conveyance. Their present object was to reach the French army as soon as possible, which they had no doubt, by this time, were got near the capital. CHAP.",julia,,
30,"Recollections. For consummation of all :nt permitted to flag, id sent them forth to rhich have come into "" Mr. H them, sucl kind pleas AUSTI ""Ab the consi the geni; ""Thi Geofi ""A r | __ prodigali """"~ """""""" ~ ""™ ~™ things m startle an our hand: _ ^ __ s . 6 .. .... The Hillyars and the Burtons. A Story of Two Families. Third Edition. Cr. 8vo. "" Is an uncommonly amusing and interesting book, because of the author's own nature, which is infused into every page, and because of the brilliant bits of writing about Australia and its coloiusts.",julia,,
31,"Then come, boys, and welcome for diet Plum-pudding, no Lessons and riot."" Q 1 "" That's wrong — it's roast beef,"" cried one child. "" Lorton, you have been listening !"" indig- nantly said another. "" Has Evy been teaching you V asked Helen. "" Yes. Evy has been teaching me some- thing besides that,"" said he, stretching across the table for a slice of cake.",julia,,
32,"She was thinking of the thousand fragile threads which bound her fast to that one spot on earth. And as she thought of it, the spirit of that home seemed present with her, and wave after wave of emotion swept with soft glittering beauty over her soul. But to Sidney, with no key save that which was dimly deciphered by eye and brow and lip, no knowledge of her thoughts could come. He only saw a face which shaded, as a hand that is held up before some candle, the rays of a light that burnt within. He saw the dilated pupils, the widely opened, steadily held lids ; the mouth that drew in hastily the short quick breath ; the colour that had risen and spread itself over ear and throat. And as he looked down upon this girl, with all the promise of a full and glorious womanhood shown in each lineament of her face, he felt his soul stirred and moved toward her with an unwonted interest. Her face had been mutely up- turned to his but for the space of several seconds, and yet in that time the depth and earnestness of her character had worked upon him.",julia,,
33,""" "" Guess we are making our way to Paris, and then to London, and then we go right straight to Canterbury."" '* To Canterbury ? "" "" Yes, to see my husband's lawy^^rs, and claim the estates, and establish my rights, as Tommy wished with his dying hand all regular and witnessed, and VOL. 11. R his will, which he made three years ago in Frisco, all straight and legal, though I wouldn't care for a cent of it, whatever it may pay out, if I could have Tommy back again."" She clapped her hands, and called Washy. "" Don't mind the tea/' she said ; "" bring a bottle of wine.^' """,julia,,
34,"He had heard that a pleasant thing might be made of life out there amongst the scrub, for a set of young fellows who were not afraid of roughing it, or having a breeze now and then with the natives. And Hugh felt as if he could thoroughly enjoy rough- ing it, or sparring with the natives even to within an inch of his life. That was the very thing he could enter into, under present cir- cumstances. Or the gold diggings. That was a fine opening, they said, for a young man. Or he might go with his cousin, the mate of the ship Lucy^ on a whaling expedition to Greenland. Best of all that, for there was plenty of excitement and daring and adven- ture in a little excursion of that sort.",julia,,
35,"VOL. II. FAE ABOVE RUBIES. Disappointment, thy name is pleasure-hunting ! Amongst all Lady Jane's company, how few were fortunate enough to find the gratification they came so far to seek. Hester, who left home in the highest spirits, with a vague hope that Brail might be invited, felt a greater depression than she chose to acknowledge when she discovered her mistake, but it vexed her still more to reflect that under such unfavourable conditions it would have been far better not to have met at all. Lady Jane, in spite of endless trouble, countless notes, complicated arrangements of all kinds, and a new dress from Paris, composed for the occasion, saw her own especial admirer, the captive of her bow and spear, fly ofi"" at a tangent on the first opportunity.",julia,,
36,"He paused too. He turned to her. His honest brown eyes were gazing down on her; his two hands were stretched out to take hers. "" My dear,"" he said, very gently, "" when I told you just now that I loved you, I only told you but a very, very little part of what is in my heart. I love you so truly, Agnes, that nothing you could ever do, no words you could ever speak, could alter my love. Will you be- lieve that ?"" '* I do— oh, I do !"" "" And — and — oh, my love, as long as you are still as you are — as long as you are free to accept or listen to my love — I shall go on hoping and trusting that time may alter all this ; I shall still feel that our long, long friendship has given me a better right so to look on you and think of you than any other man in the whole wide world.""",julia,,
37,"It is my own ; I am of age, and little as I understand of business matters, I know that I can do it legally. Promise me, my dear father, that you will not attempt to throw any impediment in my way."" Mr. Mordaunt, who had with great difficulty restrained himself v/hile his daughter was speak- ing, now addressed her with much warmth of feeling ; — "" My dear child, your offer, kind as it is, I can- not for a moment think of accepting. It would be a gross act of injustice on my part to allow you to pay one shilling of the loss. Did I con- sider Mr. Wilson's claim a fair one, you may be certain I should not have delayed meeting it a single day. I refuse to pay it upon principle, and no argument shall induce me to alter my determination.",julia,,
38,"Si]' said Ramona laughing; ""and how- ever early we rise, the dawn comes no sooner. But good-night, good-night ! Do not move till I return."" But Lola slept badly, and, while it was still dark, longed for a mouthful of fresh air. The windows were, however, close shut according to the custom of this country, where people have a strange horror of venti- lation, and dread more especially the breezes of the night. Not only were Lola's shutters hermetically sealed, but In spite of all her efforts they refused to open. Presently, as if roused by the noise, Ramona rushed in from the outer room. ^'",julia,,
39,"One only comfort had chequered her sorrow with satisfaction ; and this was the total absence of the Baron dello Sguardo. Throughout the whole day, he came not near her apartment. On the following morning, she awakened with a start and a scream from her unquiet and dreamful slumber. The loud report of the two cannons vibrated amongst the sur- rounding rocks, and shook the bed beneath her. She sprang from it in alarm, and yet in hope ; and the latter feeling was confirmed when, from the window of her chamber, she beheld the unwonted stir in the court below and the active preparations for defence that were evi- dently made by the followers of the Baron. She hastily dressed herself; and/turning from so agitating a sight, betook her to the outer room, and, dropping upon her kness, prayed fervently for the success of those whom, she doubted not, were he deliverers. Her weak-spirited maid, to whom we have before alluded, was not, however, as composed as her mistress.",julia,,
40,"He did not offer his hand to Kit, but re- garded him with cold disfavour. ' Upon my word,' cried Mark, ' you are both treating Kit exceedingly ill. He is not responsible for his father's action in any way, and regrets it as much as you do.' ' A great deal more,' put in Kit, quietly ; ' inasmuch as I am to blame in the matter. I did remind Trenna of the purse with Lucy's savings in it, because I knew my father would sooner or later come to hear of it ; and I wished Abel to be exonerated at once. Un- fortunately, as I understand, one of the missing notes has been found in it. Xo doubt that fact can be explained ; but, in the meantime, is it altogether unreasonable that my father should wish to make some inquiry as to how it came there ?",julia,,
