"Filename","Title","Author","Date","Nationality","Source","OCR_Score"
"1017.txt","The witch-finder : a romance","Gaspey, Thomas","1824","British","Chadwyck",0.952
"1018.txt","Salathiel: A Story of the Past, the Present, and the Future","George Croly","1828","British","Chadwyck",0.9561
"1019.txt","Theodore Cyphon: Or, The Benevolent Jew. A Novel ...","George Walker","1796","British","Chadwyck",0.7652
"102.txt","The Watsons [in, The Works of Jane Austen; Volume VI; Minor Works]","Austen, Jane","1805","British","Chadwyck",0.9401
"1020.txt","Reata : what's in a name","Gerard E D","1880","British","Chadwyck",0.9594
"1021.txt","Beggar my neighbor","Gerard, Emily","1882","British","Chadwyck",0.9478
"1022.txt","Fancy free : and other stories","Gibbon Charles 1843 1890","1884","British","Chadwyck",0.9323
"1023.txt","In honour bound","Gibbon Charles 1843 1890","1874","British","Chadwyck",0.9653
"1024.txt","In love and war : a romance","Gibbon Charles 1843 1890","1877","British","Chadwyck",0.9649
"1025.txt","Of high degree : a story","Gibbon Charles 1843 1890","1883","British","Chadwyck",0.961
"1026.txt","Robin Gray : a novel","Gibbon Charles 1843 1890","1869","British","Chadwyck",0.9475
"1027.txt","The braes of Yarrow : a romance","Gibbon Charles 1843 1890","1881","British","Chadwyck",0.9604
"1028.txt","The last Earl of Desmond: : a historical romance of 1599-1603. ... In two volumes. ..","Gibson Charles Bernard 1808 1885","1854","British","Chadwyck",0.9558
"1029.txt","King's baynard","Gifford George Mrs","1866","British","Chadwyck",0.9547
"103.txt","An artist's proof","Austin, Alfred","1864","British","Chadwyck",0.9639
"1030.txt","Trials of an heiress","Gifford George Mrs","1869","British","Chadwyck",0.9521
"1031.txt","Doctor Austin's guests","Gilbert, William","1866","British","Chadwyck",0.9712
"1032.txt","The inquisitor, or, The struggle in Ferrara : an historical romance","Gilbert, William","1870","British","Chadwyck",0.9516
"1033.txt","Asylum Christi : a story of the Dragonnades","Gilliat, Edward","1877","British","Chadwyck",0.9615
"1034.txt","The confessions of Sir Henry Longueville. A novel","Gillies, Robert Pearse","1814","British","Chadwyck",0.9448
"1035.txt","Jessie of Boulogne, or, The history of a few minutes","Gillmor C Clotworthy","1877","British","Chadwyck",0.9566
"1036.txt","Steyneville; or Fated fortunes, being the memoirs of an Unextraordinary Man","Gingold H l ne d 1926","1885","British","Chadwyck",0.9651
"1037.txt","A masquerader","Gissing, Algernon","1892","British","Chadwyck",0.9555
"1038.txt","A vagabond in arts","Gissing, Algernon","1894","British","Chadwyck",0.9538
"1039.txt","A village Hampden","Gissing, Algernon","1890","British","Chadwyck",0.9473
"104.txt","Jessie's expiation. A novel","Austin, Alfred","1867","British","Chadwyck",0.9624
"1040.txt","At society's expense","Gissing, Algernon","1894","British","Chadwyck",0.9466
"1041.txt","Between two opinions","Gissing, Algernon","1893","British","Chadwyck",0.9411
"1042.txt","The scholar of Bygate, a tale","Gissing, Algernon","1897","British","Chadwyck",0.9606
"1043.txt","The sport of stars","Gissing, Algernon","1896","British","Chadwyck",0.9565
"1044.txt","Demos : a story of English socialism","Gissing, George","1886","British","Chadwyck",0.9502
"1045.txt","New Grub Street: A Novel: By George Gissing ... In Three Volumes: Second Edition","Gissing, George","1891","British","Chadwyck",0.9808
"1046.txt","The Nether World: A Novel: By George Gissing ... In Three Vols","Gissing, George","1889","British","Chadwyck",0.9723
"1047.txt","The Odd Women: By George Gissing ... In Three Volumes","Gissing, George","1893","British","Chadwyck",0.9693
"1048.txt","The unclassed : a novel","Gissing, George","1884","British","Chadwyck",0.969
"1049.txt","The Whirlpool: By George Gissing","Gissing, George","1897","British","Chadwyck",0.9715
"105.txt","Cipher; a Romance. (1869)","Austin, Jane","1862.5","American","Chadwyck",0.9672
"1050.txt","The perfect path : a novel","Glaister Elizabeth","1884","British","Chadwyck",0.9546
"1051.txt","Land sharks and sea gulls","Glascock W N William Nugent 1787 1847","1838","British","Chadwyck",0.943
"1052.txt","Sailors and saints : or, matrimonial manoeuvres","Glascock W N William Nugent 1787 1847","1829","British","Chadwyck",0.9547
"1053.txt","Allan Breck","Gleig, George Robert","1834","British","Chadwyck",0.9548
"1054.txt","The light dragoon","Gleig, George Robert","1844","British","Chadwyck",0.9552
"1055.txt","George Hern. A novel","Glemham Henry","1878","British","Chadwyck",0.9449
"1056.txt","Cornish diamonds","Godfrey, Elizabeth","1895","British","Chadwyck",0.9694
"1057.txt","Cloudesley: a tale","Godwin, William","1830","British","Chadwyck",0.9527
"1058.txt","Deloraine","Godwin, William","1833","British","Chadwyck",0.9656
"1059.txt","Fleetwood: Or, The New Man Of Feeling.","Godwin, William","1805","British","Chadwyck",0.9866
"106.txt","Dora Darling; the Daughter of the Regiment. (1865)","Austin, Jane","1862.5","American","Chadwyck",0.9699
"1060.txt","Mandeville : a tale of the seventeenth century","Godwin, William","1817","British","Chadwyck",0.9399
"1061.txt","St. Leon: A Tale of the Sixteenth Century","Godwin, William","1799","British","Chadwyck",0.9924
"1062.txt","Things As They Are; or, The Adventures of Caleb Williams ... In Three Volumes.","Godwin, William","1794","British","Chadwyck",0.9887
"1063.txt","Transfusion","Godwin, William","1835","British","Chadwyck",0.9635
"1064.txt","Casualties. A novel ..","Goldsmith, Mary","1804","British","Chadwyck",0.9222
"1065.txt","The citizen of the world; or, Letters from a Chinese philosopher, residing in London, to his friends in the country. By Dr. Goldsmith ...","Goldsmith, Oliver","2008-09-02","Irish","Chadwyck",0.9322
"1066.txt","Gwen, or, The cousins","Goodrich A M","1855","British","Chadwyck",0.9513
"1067.txt","The myrtle and the heather : a tale","Goodrich A M","1857","British","Chadwyck",0.961
"1068.txt","Kingsconnell, a tale ..","Gordon Margaret Maria b 1823","1850","British","Chadwyck",0.9576
"1069.txt","The fortunes of the Falconars","Gordon Mrs","1844","British","Chadwyck",0.9459
"107.txt","Outpost. (1867)","Austin, Jane","1862.5","American","Chadwyck",0.9663
"1070.txt","Annie Jennings. A novel","Gore, Leslie","1870","British","Chadwyck",0.9482
"1071.txt","A life's lessons","Gore, Mrs. (Catherine Grace Frances)","1856","British","Chadwyck",0.9346
"1072.txt","Castles in the air. A novel. By Mrs. Gore.","Gore, Mrs. (Catherine Grace Frances)","2008-10-07","British","Chadwyck",0.9345
"1073.txt","Cecil, a peer : a sequel to Cecil, or, The adventures of a coxcomb","Gore, Mrs. (Catherine Grace Frances)","1841","British","Chadwyck",0.9428
"1074.txt","Cecil, or, The adventures of a coxcomb : a novel ..","Gore, Mrs. (Catherine Grace Frances)","1843","British","Chadwyck",0.9384
"1075.txt","Fascination, and other tales","Gore, Mrs. (Catherine Grace Frances)","1842","British","Chadwyck",0.941
"1076.txt","Greville, or, A Season in Paris","Gore, Mrs. (Catherine Grace Frances)","1841","British","Chadwyck",0.9344
"1077.txt","The banker's wife : or, Court and city : a novel","Gore, Mrs. (Catherine Grace Frances)","1843","British","Chadwyck",0.9423
"1078.txt","Hungarian tales","Gore, Mrs. (Catherine Grace Frances)","1829","British","Chadwyck",0.9451
"1079.txt","Mary Raymond, and other tales","Gore, Mrs. (Catherine Grace Frances)","1838","British","Chadwyck",0.9422
"108.txt","The Shadow of Moloch Mountain. (1870)","Austin, Jane","1862.5","American","Chadwyck",0.9705
"1080.txt","Modern French life","Gore, Mrs. (Catherine Grace Frances)","1842","British","Chadwyck",0.9483
"1081.txt","Mothers and daughters : a tale of the year 1830","Gore, Mrs. (Catherine Grace Frances)","1831","British","Chadwyck",0.9317
"1082.txt","Mrs. Armytage; or, Female Domination.","Gore, Mrs. (Catherine Grace Frances)","1836","British","Chadwyck",0.9542
"1083.txt","Pin money; a novel","Gore, Mrs. (Catherine Grace Frances)","1831","British","Chadwyck",0.9209
"1084.txt","Preferment; or, My uncle the earl","Gore, Mrs. (Catherine Grace Frances)","1840","British","Chadwyck",0.9382
"1085.txt","Romances of real life.","Gore, Mrs. (Catherine Grace Frances)","1829","British","Chadwyck",0.9456
"1086.txt","The ambassador's wife","Gore, Mrs. (Catherine Grace Frances)","1842","British","Chadwyck",0.944
"1087.txt","The birthright and other tales","Gore, Mrs. (Catherine Grace Frances)","1844","British","Chadwyck",0.9491
"1088.txt","The dean's daughter, or, The days we live in","Gore, Mrs. (Catherine Grace Frances)","1853","British","Chadwyck",0.9422
"1089.txt","The diary of a désennuyée","Gore, Mrs. (Catherine Grace Frances)","1836","British","Chadwyck",0.9376
"109.txt","Lemuel : the romance of politics","Author of Cynthia","1883","British","Chadwyck",0.9546
"1090.txt","The dowager : or, The new school for scandal","Gore, Mrs. (Catherine Grace Frances)","1840","British","Chadwyck",0.9362
"1091.txt","The fair of May fair","Gore, Mrs. (Catherine Grace Frances)","1832","British","Chadwyck",0.9336
"1092.txt","The heir of Selwood, or, Three epochs of a life","Gore, Mrs. (Catherine Grace Frances)","1838","British","Chadwyck",0.9478
"1093.txt","The man of fortune, and other tales","Gore, Mrs. (Catherine Grace Frances)","1842","British","Chadwyck",0.9493
"1094.txt","The manners of the day","Gore, Mrs. (Catherine Grace Frances)","1830","British","Chadwyck",0.9285
"1095.txt","The money-lender","Gore, Mrs. (Catherine Grace Frances)","1843","British","Chadwyck",0.9419
"1096.txt","The opera : a novel","Gore, Mrs. (Catherine Grace Frances)","1832","British","Chadwyck",0.9323
"1097.txt","The popular member, The wheel of fortune, etc","Gore, Mrs. (Catherine Grace Frances)","1844","British","Chadwyck",0.9378
"1098.txt","The sketch book of fashion","Gore, Mrs. (Catherine Grace Frances)","1833","British","Chadwyck",0.9337
"1099.txt","The story of a royal favourite","Gore, Mrs. (Catherine Grace Frances)","1845","British","Chadwyck",0.9422
"11.txt","Old Saint Paul's : a tale of the plague and the fire","Ainsworth, William","1841","British","Chadwyck",0.9468
"110.txt","Gerald Hastings of Barton","Author of No appeal","1870","British","Chadwyck",0.9705
"1100.txt","The Tuileries. A tale","Gore, Mrs. (Catherine Grace Frances)","1831","British","Chadwyck",0.9263
"1101.txt","The two aristocracies : a novel","Gore, Mrs. (Catherine Grace Frances)","1857","British","Chadwyck",0.9403
"1102.txt","The woman of the world. : a novel.","Gore, Mrs. (Catherine Grace Frances)","1838","British","Chadwyck",0.9301
"1103.txt","Frederick de Montford: a novel","Goulburn Edward 1787 1868","1811","British","Chadwyck",0.933
"1104.txt","The heavenly twins","Grand Sarah pseud","1893","British","Chadwyck",0.9745
"1105.txt","Land ahead : a novel","Grant Courteney","1878","British","Chadwyck",0.9659
"1106.txt","Joseph Jenkins, or, Leaves from the life of a literary man","Grant James 1802 1879","1843","British","Chadwyck",0.9595
"1107.txt","Lady Wedderburn's wish : a tale of the Crimean War","Grant James 1822 1887","1870","British","Chadwyck",0.9506
"1108.txt","Love's labour won : a novel","Grant James 1822 1887","1888","British","Chadwyck",0.9563
"1109.txt","Morley Ashton : a story of the sea","Grant James 1822 1887","1876","British","Chadwyck",0.947
"111.txt","Pomegranate seed","Author of Rare pale Margaret","1886","British","Chadwyck",0.9508
"1110.txt","Only an ensign : a tale of the retreat from Cabul","Grant James 1822 1887","1871","British","Chadwyck",0.9506
"1111.txt","Philip Rollo, or, The Scottish musketeers","Grant James 1822 1887","1854","British","Chadwyck",0.9478
"1112.txt","Shall I win her? The story of a wanderer","Grant James 1822 1887","1874","British","Chadwyck",0.9524
"1113.txt","The girl he married : a novel","Grant James 1822 1887","1869","British","Chadwyck",0.9492
"1114.txt","The King's own borderers : a military romance","Grant James 1822 1887","1865","British","Chadwyck",0.9489
"1115.txt","The master of Aberfeldie","Grant James 1822 1887","1884","British","Chadwyck",0.945
"1116.txt","The romance of war : or, The Highlanders in Spain","Grant James 1822 1887","1846","British","Chadwyck",0.9483
"1117.txt","The Scottish cavalier : an historical romance","Grant James 1822 1887","1850","British","Chadwyck",0.9485
"1118.txt","The white cockade = or, faith and fortitude","Grant James 1822 1887","1867","British","Chadwyck",0.9435
"1119.txt","Under the red dragon. A novel","Grant James 1822 1887","1872","British","Chadwyck",0.9452
"112.txt","Varieties of life; or, Conduct and consequences. A novel","Author of Sketches of character","1815","British","Chadwyck",0.9319
"1120.txt","Lescar, the universalist","Grant Maria M","1874","British","Chadwyck",0.954
"1121.txt","One May day : a sketch in summer-time","Grant Maria M","1882","British","Chadwyck",0.9692
"1122.txt","The sun-maid","Grant Maria M","1876","British","Chadwyck",0.9564
"1123.txt","Bush-life in Queensland : or, John West's colonial experiences","Grant, Alexander Charles","1881","British","Chadwyck",0.9564
"1124.txt","Adventures of an aide-de-camp, or A campaign in Calabria","Grant, James","1848","British","Chadwyck",0.9467
"1125.txt","Colville of the guards","Grant, James","1885","British","Chadwyck",0.9371
"1126.txt","Derval Hampton : a story of the sea","Grant, James","1881","British","Chadwyck",0.949
"1127.txt","Did she love him? A novel","Grant, James","1876","British","Chadwyck",0.9464
"1128.txt","Dulcie Carlyon : a novel","Grant, James","1886","British","Chadwyck",0.9445
"1129.txt","Fairer than a fairy : a novel","Grant, James","1874","British","Chadwyck",0.9574
"113.txt","Una Crichton / by the Author of The fortunes of Hassan.","Author of The fortunes of Hassan","2008-08-23","British","Chadwyck",0.9495
"1130.txt","Charles Stanley : a novel","Grant, Louisa Keir","1854","British","Chadwyck",0.9566
"1131.txt","Agnes de Mansfeldt : a historical tale","Grattan, Thomas Colley","1836","British","Chadwyck",0.9513
"1132.txt","High-ways and by-ways; or, Tales of the roadside, picked up in the French provinces","Grattan, Thomas Colley","1823","British","Chadwyck",0.9473
"1133.txt","Jacqueline of Holland","Grattan, Thomas Colley","1831","British","Chadwyck",0.9227
"1134.txt","The heiress of Bruges : a tale of the year sixteen hundred","Grattan, Thomas Colley","1830","British","Chadwyck",0.9502
"1135.txt","Traits of travel; or, Tales of men and cities","Grattan, Thomas Colley","1829","British","Chadwyck",0.9565
"1136.txt","Like lost sheep : a riverside story","Gray Arnold","1885","British","Chadwyck",0.9477
"1137.txt","Periwinkle : an autobiography","Gray Arnold","1888","British","Chadwyck",0.9551
"1138.txt","The last sentence : a novel","Gray Maxwell d 1923","1893","British","Chadwyck",0.9528
"1139.txt","The silence of Dean Maitland : a novel","Gray Maxwell d 1923","1886","British","Chadwyck",0.945
"114.txt","Tales of the Puritans. The Regicides - The Fair Pilgrim -
Castine (1831)","Bacon, Delia Salter","1835","American","Chadwyck",0.9875
"1140.txt","Never for ever","Gray Russell","1867","British","Chadwyck",0.9665
"1141.txt","The private history of the court of England","Green Sarah ca 1763 1808","1808","British","Chadwyck",0.9345
"1142.txt","Who is the bridegroom?","Green Sarah novelist","1822","British","Chadwyck",0.9364
"1143.txt","Treason at home : a novel","Greenough Richard S Mrs 1827 1885","1865","British","Chadwyck",0.9573
"1144.txt","Errant : a life-story of latter-day chivalry","Greg, Percy","1880","British","Chadwyck",0.9748
"1145.txt","Ivy: cousin and bride","Greg, Percy","1881","British","Chadwyck",0.9679
"1146.txt","Creatures of clay : a novel","Greville, Lady Violet","1885","British","Chadwyck",0.9657
"1147.txt","Keith's wife. A novel","Greville, Lady Violet","1883","British","Chadwyck",0.9591
"1148.txt","Mary Seaham. A novel. :","Grey Elizabeth Caroline","1852","British","Chadwyck",0.9698
"1149.txt","The trials of life","Grey Elizabeth Caroline","1829","British","Chadwyck",0.9507
"115.txt","The orientalist : containing a series of tales, legends, and historical romances","Bacon, Thomas","1842","British","Chadwyck",0.9469
"1150.txt","The three paths","Grey Herbert","1859","British","Chadwyck",0.9579
"1151.txt","A virgin widow : a novel","Grey Oliver","1886","British","Chadwyck",0.9504
"1152.txt","Dr. Sinclair's sister","Grey, Edward","1891","British","Chadwyck",0.9699
"1153.txt","Aline : an old friend's story","Grey, Mrs. Elizabeth Caroline","1848","British","Chadwyck",0.9536
"1154.txt","An old country house. A novel","Grey, Mrs. Elizabeth Caroline","1850","British","Chadwyck",0.9513
"1155.txt","Daughters, a novel","Grey, Mrs. Elizabeth Caroline","1847","British","Chadwyck",0.9475
"1156.txt","De Lisle, or, The sensitive man : in three volumes","Grey, Mrs. Elizabeth Caroline","1828","British","Chadwyck",0.9579
"1157.txt","Gentleman Jack; or, Life on the road","Grey, Mrs. Elizabeth Caroline","1852","British","Chadwyck",0.9521
"1158.txt","The bosom friend : a novel","Grey, Mrs. Elizabeth Caroline","1845","British","Chadwyck",0.9532
"1159.txt","The gambler's wife, a novel","Grey, Mrs. Elizabeth Caroline","1844","British","Chadwyck",0.9525
"116.txt","What I did with My Fifty Millions. By Moses Adams. (pseud.)
(1874)","Bagby, George William","1855.5","American","Chadwyck",0.963
"1160.txt","The little wife; and the Baronet's daughters ..","Grey, Mrs. Elizabeth Caroline","1841","British","Chadwyck",0.9583
"1161.txt","The old Dower house : a tale of bygone days / by the author of ""The young prima dona"", The Belle of the family"", &c, &c, &c","Grey, Mrs. Elizabeth Caroline","1844","British","Chadwyck",0.9599
"1162.txt","The way of the world","Grey, Mrs. Elizabeth Caroline","1831","British","Chadwyck",0.9529
"1163.txt","Tales of my neighbourhood","Griffin Gerald","1835","Irish","Chadwyck",0.9573
"1164.txt","Tales of the Munster festivals","Griffin Gerald","1827","Irish","Chadwyck",0.9222
"1165.txt","Talis qualis, or, Tales of the jury room","Griffin Gerald","1842","Irish","Chadwyck",0.9572
"1166.txt","The invasion","Griffin Gerald","1832","Irish","Chadwyck",0.932
"1167.txt","The rivals : Tracy's ambition","Griffin Gerald","1830","Irish","Chadwyck",0.9548
"1168.txt","A son of Mars","Griffiths Arthur 1838 1908","1880","British","Chadwyck",0.9433
"1169.txt","Lola: a tale of the rock","Griffiths Arthur 1838 1908","1876","British","Chadwyck",0.9514
"117.txt","Hermsprong; or, Man As He Is Not","Bage, Robert","1796","British","Chadwyck",0.9708
"1170.txt","The queen's shilling : a soldier's story","Griffiths Arthur 1838 1908","1872","British","Chadwyck",0.9505
"1171.txt","The thin red line ..","Griffiths Arthur 1838 1908","1886","British","Chadwyck",0.9541
"1172.txt","The wrong road : by hook or crook","Griffiths Arthur 1838 1908","1888","British","Chadwyck",0.9378
"1173.txt","In secret places. A novel","Griffiths Robert Jones","1874","British","Chadwyck",0.9685
"1174.txt","The Roua pass ; or, Englishmen in the highlands","Grogan Mercy Mrs","1857","British","Chadwyck",0.9383
"1175.txt","The Diary of a Nobody: By George Grossmith And Weedon Grosssmith: With Illustrations by Weedon Grossmith","Grossmith, George","[1892]","British","Chadwyck",0.9578
"1176.txt","The exile of Erin : a novel","Gunning, Miss Elizabeth","1808","British","Chadwyck",0.9181
"1177.txt","Gwendoline's harvest. A novel","Gwendoline","1870","British","Chadwyck",0.951
"1178.txt","Her dignity and grace : a tale","H C","1880","British","Chadwyck",0.9693
"1179.txt","Colonel Quaritch, V.C. : a tale of country life","Haggard, H. Rider (Henry Rider)","1888","British","Chadwyck",0.9691
"118.txt","Man As He Is. A Novel","Bage, Robert","1792","British","Chadwyck",0.9664
"1180.txt","King Solomon's Mines. By H. Rider Haggard [etc.]","Haggard, H. Rider (Henry Rider)","1885","British","Chadwyck",0.9769
"1181.txt","She: A History of Adventure: By Rider Haggard","Haggard, H. Rider (Henry Rider)","1887","British","Chadwyck",0.9722
"1182.txt","In letters of gold","Hake Thomas St E Thomas St Edmund","1886","British","Chadwyck",0.935
"1183.txt","Boarding Out. A Tale of Domestic Life . . . (1846)","Hale, Sarah Josepha Buell","1833.5","American","Chadwyck",0.9668
"1184.txt","Keeping House and Housekeeping: A Story of Domestic Life . . .
(1845)","Hale, Sarah Josepha Buell","1833.5","American","Chadwyck",0.9743
"1185.txt","Liberia; or, Mr. Peyton's Experiments. Edited by Sarah J. Hale.
(1853)","Hale, Sarah Josepha Buell","1833.5","American","Chadwyck",0.9761
"1186.txt","Northwood; or, Life North and South, Showing the True Character
of Both. (1852)","Hale, Sarah Josepha Buell","1833.5","American","Chadwyck",0.9799
"1187.txt","The next of kin : a novel in three volumes","Hall Frederick J Mrs","1854","British","Chadwyck",0.9471
"1188.txt","The lord of the manor, or, Lights and shades of country life","Hall Thomas fl 1845 1864","1849","British","Chadwyck",0.9606
"1189.txt","Frank Freeman's Barber Shop: A Tale. (1852)","Hall, Baynard Rush","1830.5","American","Chadwyck",0.9552
"119.txt","Rose of Woodlee : a tale","Bainbridge, Maria","1843","British","Chadwyck",0.959
"1190.txt","Something for Every Body: Gleaned in the Old Purchase, from
Fields Often Reaped. By Robert Carlton, Esq. [pseud.] (1846)","Hall, Baynard Rush","1830.5","American","Chadwyck",0.9735
"1191.txt","The Harpe's Head: A Legend of Kentucky . . . (1833)","Hall, James","1830.5","American","Chadwyck",0.9829
"1192.txt","A woman's story","Hall, S. C., Mrs.","1857","British","Chadwyck",0.961
"1193.txt","Lights and shadows of Irish life.","Hall, S. C., Mrs.","1838","British","Chadwyck",0.9499
"1194.txt","Tales of woman's trials / by Mrs. S. C. Hall.","Hall, S. C., Mrs.","2008-10-21","British","Chadwyck",0.9535
"1195.txt","The outlaw","Hall, S. C., Mrs.","1835","British","Chadwyck",0.9604
"1196.txt","Uncle Horace : a novel","Hall, S. C., Mrs.","1837","British","Chadwyck",0.9562
"1197.txt","The Life and Adventures, Songs, Services, and Speeches of
Private Miles O'Reilly [pseud.] (47th regiment, New York
volunteers.) ... With comic illustrations by Mullen. From the
authentic records of the New York herald. (1864)","Halpine, Charles G. (Charles Graham)","1848.5","American","Chadwyck",0.9544
"1198.txt","Graham Aspen, painter : a novel","Halse George","1889","British","Chadwyck",0.9566
"1199.txt","Bethesda","Halsted, Leonora B.","1884","British","Chadwyck",0.953
"12.txt","Rookwood : a romance","Ainsworth, William","1834","British","Chadwyck",0.96
"120.txt","Strafford : a romance","Baker, Henry Barton","1878","British","Chadwyck",0.96
"1200.txt","The bridal bar : a novel","Ham, James Panton","1872","British","Chadwyck",0.9358
"1201.txt","Wenderholme : a story of Lancashire and Yorkshire","Hamerton Philip Gilbert 1834 1894","1869","British","Chadwyck",0.9479
"1202.txt","A voyage of discovery; a novel of American society","Hamilton Aide","1892","British","Chadwyck",0.9656
"1203.txt","Poet and peer","Hamilton Aide","1880","British","Chadwyck",0.9489
"1204.txt","The Irishwoman in London : a modern novel, in three volumes","Hamilton Ann","1810","British","Chadwyck",0.8939
"1205.txt","The youth and manhood of Cyril Thornton","Hamilton Thomas 1789 1842","1827","British","Chadwyck",0.9439
"1206.txt","Mr. Montenello: a romance of the civil service ..","Hamilton William Alexander Baillie 1844","1884","British","Chadwyck",0.9494
"1207.txt","Betwixt two lovers : a novel","Hamilton, Rowan","1891","British","Chadwyck",0.9578
"1208.txt","The last of the cornets. A novel","Hamilton, Rowan","1890","British","Chadwyck",0.9583
"1209.txt","Lady Lee's widowhood","Hamley Edward Bruce Sir 1824 1893","1854","British","Chadwyck",0.9548
"121.txt","Richard Dare","Baldwin, Alfred Mrs.","1894","British","Chadwyck",0.948
"1210.txt","The house of Lys : one book of its history : a tale","Hamley W G William George 1815 1893","1879","British","Chadwyck",0.9594
"1211.txt","Singleton Fontenoy, R.N.","Hannay James 1827 1873","1850","British","Chadwyck",0.9473
"1212.txt","Sketches in ultra-marine ..","Hannay James 1827 1873","1853","British","Chadwyck",0.9587
"1213.txt","Decision : a tale","Harding, Anne Raikes","1819","British","Chadwyck",0.9488
"1214.txt","Realities / not a novel, a tale from real life","Harding, Anne Raikes","1825","British","Chadwyck",0.9404
"1215.txt","Eugenia : an episode","Hardinge, William Money","1883","British","Chadwyck",0.9559
"1216.txt","The willow-garth. A novel","Hardinge, William Money","1886","British","Chadwyck",0.966
"1217.txt","In sight of land; a novel","Hardy Duffus Lady 1825 1891","1885","British","Chadwyck",0.9647
"1218.txt","Madge : In three volumes","Hardy Duffus Lady 1825 1891","1878","British","Chadwyck",0.9647
"1219.txt","A broken faith : In three volumes","Hardy, Iza Duffus","1879","British","Chadwyck",0.9578
"122.txt","The foundling of Glenthorn, or, The smuggler's cave : a novel","Balfour, Alexander","1823","British","Chadwyck",0.9425
"1220.txt","A hero's work","Hardy, Iza Duffus","1868","British","Chadwyck",0.9553
"1221.txt","Glencairn","Hardy, Iza Duffus","1877","British","Chadwyck",0.9464
"1222.txt","Love in idleness; the story of a winter in Florida","Hardy, Iza Duffus","1887","British","Chadwyck",0.9501
"1223.txt","A Pair of Blue Eyes. A Novel. By Thomas Hardy ... In Three Volumes","Hardy, Thomas","1873","British","Chadwyck",0.9728
"1224.txt","Far from the Madding Crowd. By Thomas Hardy ... With Twelve Illustrations. In Two Volumes ... Second Edition","Hardy, Thomas","1874","British","Chadwyck",0.9671
"1225.txt","Jude the Obscure: By Thomas Hardy: With an Etching by H. Macbeth-Raeburn and a Map of Wessex [Thomas Hardy's Works: The Wessex Novels: Volume VIII]","Hardy, Thomas","[1896]","British","Chadwyck",0.9717
"1226.txt","Tess of the D'Urbervilles: A Pure Woman Faithfully Presented by Thomas Hardy: In Three Volumes","Hardy, Thomas","1891","British","Chadwyck",0.9688
"1227.txt","The Mayor of Casterbridge: the Life and Death of a Man of Character. By Thomas Hardy ... In Two Volumes","Hardy, Thomas","1886","British","Chadwyck",0.9599
"1228.txt","The Pursuit of the Well-Beloved. A Sketch of a Temperament. By Thomas Hardy [in, The Illustrated London News: Volume CI]","Hardy, Thomas","1892","British","Chadwyck",0.9695
"1229.txt","The Return of the Native: By Thomas Hardy ... In Three Volumes","Hardy, Thomas","1878","British","Chadwyck",0.9669
